pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age,FamKey,
0,0,0,8,9,1,R,1.5,,,
0,1,9,1,10,0,R,0.75,,,
0,2,10,0,11,2,R,2,,,
0,3,11,2,12,3,R,1.5,,,
0,4,12,3,13,4,R,3,,,
0,5,13,4,14,1,R,1.5,,,
0,6,14,1,15,0,R,0.75,,,
0,7,15,0,16,8,R,1,,,
0,8,16,8,22,8,R,0.5,,,
1,0,0,8,9,1,R,1.5,,,
1,1,9,1,10,0,R,0.75,,,
1,2,10,0,11,2,R,2,,,
1,3,11,2,12,3,R,1.5,,,
1,4,12,3,13,4,R,3,,,
1,5,13,4,14,1,R,1.5,,,
1,6,14,1,15,0,R,0.75,,,
1,7,15,0,16,8,R,1,,,
1,8,16,8,22,8,R,0.5,,,
2,0,0,8,9,1,R,1.5,,,
2,1,9,1,10,0,R,0.75,,,
2,2,10,0,11,2,R,2,,,
2,3,11,2,12,3,R,1.5,,,
2,4,12,3,13,4,R,3,,,
2,5,13,4,14,1,R,1.5,,,
2,6,14,1,15,0,R,0.75,,,
2,7,15,0,16,8,R,1,,,
2,8,16,8,22,8,R,0.5,,,
3,0,0,8,9,1,R,1.5,,,
3,1,9,1,10,0,R,0.75,,,
3,2,10,0,11,2,R,2,,,
3,3,11,2,12,3,R,1.5,,,
3,4,12,3,13,4,R,3,,,
3,5,13,4,14,1,R,1.5,,,
3,6,14,1,15,0,R,0.75,,,
3,7,15,0,16,8,R,1,,,
3,8,16,8,22,8,R,0.5,,,
4,0,0,8,9,1,R,1.5,,,
4,1,9,1,10,0,R,0.75,,,
4,2,10,0,11,2,R,2,,,
4,3,11,2,12,3,R,1.5,,,
4,4,12,3,13,4,R,3,,,
4,5,13,4,14,1,R,1.5,,,
4,6,14,1,15,0,R,0.75,,,
4,7,15,0,16,8,R,1,,,
4,8,16,8,22,8,R,0.5,,,
5,0,0,8,9,1,R,1.5,,,
5,1,9,1,10,0,R,0.75,,,
5,2,10,0,11,2,R,2,,,
5,3,11,2,12,3,R,1.5,,,
5,4,12,3,13,4,R,3,,,
5,5,13,4,14,1,R,1.5,,,
5,6,14,1,15,0,R,0.75,,,
5,7,15,0,16,8,R,1,,,
5,8,16,8,22,8,R,0.5,,,
6,0,0,8,9,1,R,1.5,,,
6,1,9,1,10,0,R,0.75,,,
6,2,10,0,11,2,R,2,,,
6,3,11,2,12,3,R,1.5,,,
6,4,12,3,13,4,R,3,,,
6,5,13,4,14,1,R,1.5,,,
6,6,14,1,15,0,R,0.75,,,
6,7,15,0,16,8,R,1,,,
6,8,16,8,22,8,R,0.5,,,
7,0,0,8,9,1,R,1.5,,,
7,1,9,1,10,0,R,0.75,,,
7,2,10,0,11,2,R,2,,,
7,3,11,2,12,3,R,1.5,,,
7,4,12,3,13,4,R,3,,,
7,5,13,4,14,1,R,1.5,,,
7,6,14,1,15,0,R,0.75,,,
7,7,15,0,16,8,R,1,,,
7,8,16,8,22,8,R,0.5,,,
8,0,0,8,9,1,R,1.5,,,
8,1,9,1,10,0,R,0.75,,,
8,2,10,0,11,2,R,2,,,
8,3,11,2,12,3,R,1.5,,,
8,4,12,3,13,4,R,3,,,
8,5,13,4,14,1,R,1.5,,,
8,6,14,1,15,0,R,0.75,,,
8,7,15,0,16,8,R,1,,,
8,8,16,8,22,8,R,0.5,,,
9,0,0,8,9,1,R,1.5,,,
9,1,9,1,10,0,R,0.75,,,
9,2,10,0,11,2,R,2,,,
