AgeVaxH35.js:871 Mon Jan 18 2021 23:13:03 GMT-0800 (Pacific Standard Time)
AgeVaxH35.js:872 CovidSIMVL Mode1 and Mod2 Hybrid 35d
AgeVaxH35.js:873 Mode 1 >13 and <36 is 75%
AgeVaxH35.js:874 Mode 2 >28 is 95%; >13 and <29 is 75%
AgeVaxH35.js:4370 exit covidSim
AgeVaxH35.js:23 getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:32 File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:23 getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:32 File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:1710 new Mingle Factor = 6
AgeVaxH35.js:1696 New Hazard Radius = 0.7
AgeVaxH35.js:1674 Red Days changed to 8.7
AgeVaxH35.js:2202 1I j:ageGp:fam 791:5:-1 by red 150:2:-1 at gen60 Univ0 prob=0.034
AgeVaxH35.js:2221 2I i:ageGp:fam 263:2:-1 by red 791:5:-1 at gen242 Univ0 prob=0.456
AgeVaxH35.js:2221 3I i:ageGp:fam 482:3:-1 by red 791:5:-1 at gen260 Univ0 prob=0.436
AgeVaxH35.js:2202 4I j:ageGp:fam 313:2:-1 by red 263:2:-1 at gen389 Univ0 prob=0.346
AgeVaxH35.js:2221 5I i:ageGp:fam 184:2:-1 by red 313:2:-1 at gen594 Univ0 prob=0.420
AgeVaxH35.js:2202 6I j:ageGp:fam 616:4:-1 by blue 184:2:-1 at gen668 Univ0 prob=0.642
AgeVaxH35.js:2202 7I j:ageGp:fam 744:5:-1 by blue 616:4:-1 at gen743 Univ0 prob=0.133
AgeVaxH35.js:2221 8I i:ageGp:fam 199:2:-1 by blue 616:4:-1 at gen749 Univ0 prob=0.473
AgeVaxH35.js:2221 9I i:ageGp:fam 197:2:-1 by blue 616:4:-1 at gen782 Univ0 prob=0.760
AgeVaxH35.js:2202 10I j:ageGp:fam 762:5:-1 by red 199:2:-1 at gen867 Univ0 prob=0.700
AgeVaxH35.js:2202 11I j:ageGp:fam 699:5:-1 by red 199:2:-1 at gen870 Univ0 prob=0.299
AgeVaxH35.js:2202 12I j:ageGp:fam 827:6:-1 by red 197:2:-1 at gen917 Univ0 prob=0.280
