​ Wed Jan 20 2021 14:32:39 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.7
​ new Mingle Factor = 7
​ 1I j:ageGp:fam 403:3:-1 by blue 150:2:-1 at gen2 Univ0 prob=0.763
​ 2I j:ageGp:fam 496:3:-1 by blue 150:2:-1 at gen7 Univ0 prob=0.295
​ 2I j:ageGp:fam 832:6:-1 by blue 150:2:-1 at gen7 Univ0 prob=0.341
​ 4I j:ageGp:fam 184:2:-1 by blue 150:2:-1 at gen35 Univ0 prob=0.177
​ 5I j:ageGp:fam 739:5:-1 by red 150:2:-1 at gen43 Univ0 prob=0.884
​ 6I j:ageGp:fam 528:3:-1 by red 150:2:-1 at gen57 Univ0 prob=0.822
​ 7I j:ageGp:fam 812:5:-1 by blue 403:3:-1 at gen75 Univ0 prob=0.583
​ 8I j:ageGp:fam 200:2:-1 by red 150:2:-1 at gen77 Univ0 prob=0.521
​ 9I i:ageGp:fam 161:2:-1 by blue 832:6:-1 at gen83 Univ0 prob=0.768
​ 10I i:ageGp:fam 326:2:-1 by blue 403:3:-1 at gen88 Univ0 prob=0.099
​ 11I j:ageGp:fam 712:5:-1 by blue 496:3:-1 at gen90 Univ0 prob=0.285
​ 12I j:ageGp:fam 738:5:-1 by blue 403:3:-1 at gen95 Univ0 prob=0.856
​ 13I i:ageGp:fam 249:2:-1 by blue 832:6:-1 at gen98 Univ0 prob=0.294
​ 13I j:ageGp:fam 400:3:-1 by red 150:2:-1 at gen99 Univ0 prob=0.066
​ 15I j:ageGp:fam 686:4:-1 by red 150:2:-1 at gen107 Univ0 prob=0.073
​ 15I j:ageGp:fam 795:5:-1 by yellow 528:3:-1 at gen108 Univ0 prob=0.442
​ 16I j:ageGp:fam 965:8:-1 by blue 184:2:-1 at gen109 Univ0 prob=0.303
​ 18I j:ageGp:fam 815:5:-1 by blue 403:3:-1 at gen114 Univ0 prob=0.460
​ 18I j:ageGp:fam 456:3:-1 by blue 184:2:-1 at gen115 Univ0 prob=0.085
​ 19I j:ageGp:fam 497:3:-1 by yellow 456:3:-1 at gen116 Univ0 prob=0.697
​ 21I i:ageGp:fam 405:3:-1 by blue 832:6:-1 at gen118 Univ0 prob=0.528
​ 22I i:ageGp:fam 340:2:-1 by red 403:3:-1 at gen120 Univ0 prob=0.486
​ 22I i:ageGp:fam 586:4:-1 by blue 739:5:-1 at gen120 Univ0 prob=0.504
​ 24I i:ageGp:fam 205:2:-1 by blue 496:3:-1 at gen122 Univ0 prob=0.799
​ 25I j:ageGp:fam 802:5:-1 by blue 739:5:-1 at gen124 Univ0 prob=0.689
​ 25I i:ageGp:fam 168:2:-1 by blue 184:2:-1 at gen125 Univ0 prob=0.652
​ 26I j:ageGp:fam 601:4:-1 by blue 184:2:-1 at gen126 Univ0 prob=0.820
​ 28I i:ageGp:fam 158:2:-1 by yellow 205:2:-1 at gen128 Univ0 prob=0.638
​ 28I i:ageGp:fam 394:3:-1 by red 496:3:-1 at gen128 Univ0 prob=0.247
​ 28I i:ageGp:fam 279:2:-1 by red 832:6:-1 at gen129 Univ0 prob=0.683
​ 31I j:ageGp:fam 893:6:-1 by yellow 168:2:-1 at gen133 Univ0 prob=0.907
​ 31I j:ageGp:fam 516:3:-1 by red 150:2:-1 at gen134 Univ0 prob=0.185
​ 33I j:ageGp:fam 411:3:-1 by yellow 326:2:-1 at gen137 Univ0 prob=0.068
​ 34I j:ageGp:fam 914:7:-1 by blue 161:2:-1 at gen140 Univ0 prob=0.447
​ 34I j:ageGp:fam 622:4:-1 by red 403:3:-1 at gen140 Univ0 prob=0.967
​ 34I i:ageGp:fam 39:0:-1 by blue 184:2:-1 at gen141 Univ0 prob=0.427
​ 34I j:ageGp:fam 968:8:-1 by blue 184:2:-1 at gen141 Univ0 prob=0.440
​ 38I j:ageGp:fam 628:4:-1 by blue 200:2:-1 at gen145 Univ0 prob=0.123
​ 38I j:ageGp:fam 750:5:-1 by blue 184:2:-1 at gen146 Univ0 prob=0.661
​ 39I i:ageGp:fam 292:2:-1 by blue 528:3:-1 at gen147 Univ0 prob=0.092
​ 39I i:ageGp:fam 324:2:-1 by blue 528:3:-1 at gen147 Univ0 prob=0.300
​ 42I i:ageGp:fam 273:2:-1 by red 496:3:-1 at gen150 Univ0 prob=0.935
​ 43I j:ageGp:fam 618:4:-1 by red 496:3:-1 at gen153 Univ0 prob=0.587
​ 44I i:ageGp:fam 291:2:-1 by blue 812:5:-1 at gen156 Univ0 prob=0.139
​ 44I i:ageGp:fam 78:1:-1 by yellow 291:2:-1 at gen157 Univ0 prob=0.502
​ 46I i:ageGp:fam 36:0:-1 by blue 249:2:-1 at gen159 Univ0 prob=0.666
​ 46I i:ageGp:fam 278:2:-1 by red 832:6:-1 at gen159 Univ0 prob=0.611
​ 46I i:ageGp:fam 658:4:-1 by blue 739:5:-1 at gen159 Univ0 prob=0.788
