Some messages have been moved to the Issues panel.
AgeVaxH35.js:871 Fri Jan 22 2021 14:22:30 GMT-0800 (Pacific Standard Time)
AgeVaxH35.js:872 CovidSIMVL Mode1 and Mod2 Hybrid 35d
AgeVaxH35.js:873 Mode 1 >13 and <36 is 75%
AgeVaxH35.js:874 Mode 2 >28 is 95%; >13 and <29 is 75%
AgeVaxH35.js:4444 exit covidSim
AgeVaxH35.js:23 getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:32 File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:23 getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:32 File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:1674 Red Days changed to 8.7
AgeVaxH35.js:1696 New Hazard Radius = 1.3
AgeVaxH35.js:1710 new Mingle Factor = 7
AgeVaxH35.js:2293 1I x:ageGp:fam 513:3:-1 by blue 150:2:-1 at gen8 Univ0 prob=0.945
AgeVaxH35.js:2293 2I x:ageGp:fam 466:3:-1 by blue 150:2:-1 at gen46 Univ0 prob=0.852
AgeVaxH35.js:2293 3I x:ageGp:fam 710:5:-1 by blue 513:3:-1 at gen69 Univ0 prob=0.390
AgeVaxH35.js:2293 4I x:ageGp:fam 384:3:-1 by red 150:2:-1 at gen86 Univ0 prob=0.331
AgeVaxH35.js:2293 4I x:ageGp:fam 983:9:-1 by blue 513:3:-1 at gen87 Univ0 prob=0.608
AgeVaxH35.js:2293 6I x:ageGp:fam 593:4:-1 by yellow 384:3:-1 at gen92 Univ0 prob=0.798
AgeVaxH35.js:2293 7I x:ageGp:fam 969:8:-1 by blue 513:3:-1 at gen96 Univ0 prob=0.119
AgeVaxH35.js:2293 8I x:ageGp:fam 544:4:-1 by red 150:2:-1 at gen98 Univ0 prob=0.262
AgeVaxH35.js:2293 9I x:ageGp:fam 376:3:-1 by blue 513:3:-1 at gen106 Univ0 prob=0.346
AgeVaxH35.js:2293 10I x:ageGp:fam 157:2:-1 by blue 513:3:-1 at gen118 Univ0 prob=0.969
AgeVaxH35.js:2293 10I x:ageGp:fam 383:3:-1 by blue 466:3:-1 at gen119 Univ0 prob=0.059
AgeVaxH35.js:2293 11I x:ageGp:fam 904:7:-1 by red 150:2:-1 at gen120 Univ0 prob=0.799
AgeVaxH35.js:2293 13I x:ageGp:fam 114:1:-1 by yellow 157:2:-1 at gen123 Univ0 prob=0.045
AgeVaxH35.js:2293 13I x:ageGp:fam 878:6:-1 by red 513:3:-1 at gen123 Univ0 prob=0.424
AgeVaxH35.js:2293 13I x:ageGp:fam 660:4:-1 by yellow 157:2:-1 at gen124 Univ0 prob=0.953
AgeVaxH35.js:2293 16I x:ageGp:fam 547:4:-1 by red 513:3:-1 at gen140 Univ0 prob=0.648
AgeVaxH35.js:2293 17I x:ageGp:fam 915:7:-1 by blue 593:4:-1 at gen145 Univ0 prob=0.870
AgeVaxH35.js:2293 18I x:ageGp:fam 954:8:-1 by blue 466:3:-1 at gen154 Univ0 prob=0.485
AgeVaxH35.js:2293 18I x:ageGp:fam 810:5:-1 by blue 969:8:-1 at gen154 Univ0 prob=0.316
AgeVaxH35.js:2293 20I x:ageGp:fam 109:1:-1 by blue 983:9:-1 at gen159 Univ0 prob=0.523
AgeVaxH35.js:2293 20I x:ageGp:fam 871:6:-1 by blue 384:3:-1 at gen160 Univ0 prob=0.205
AgeVaxH35.js:2293 21I x:ageGp:fam 102:1:-1 by blue 466:3:-1 at gen161 Univ0 prob=0.480
AgeVaxH35.js:2293 21I x:ageGp:fam 453:3:-1 by blue 384:3:-1 at gen161 Univ0 prob=0.119
AgeVaxH35.js:2293 21I x:ageGp:fam 963:8:-1 by blue 983:9:-1 at gen161 Univ0 prob=0.291
AgeVaxH35.js:2293 25I x:ageGp:fam 495:3:-1 by blue 593:4:-1 at gen168 Univ0 prob=0.322
AgeVaxH35.js:2293 26I x:ageGp:fam 335:2:-1 by red 513:3:-1 at gen170 Univ0 prob=0.581
AgeVaxH35.js:2293 26I x:ageGp:fam 47:1:-1 by blue 904:7:-1 at gen171 Univ0 prob=0.578
AgeVaxH35.js:2293 27I x:ageGp:fam 910:7:-1 by blue 969:8:-1 at gen172 Univ0 prob=0.346
AgeVaxH35.js:2293 28I x:ageGp:fam 304:2:-1 by red 513:3:-1 at gen173 Univ0 prob=0.118
AgeVaxH35.js:2293 30I x:ageGp:fam 819:5:-1 by blue 544:4:-1 at gen176 Univ0 prob=0.938
AgeVaxH35.js:2293 31I x:ageGp:fam 398:3:-1 by blue 383:3:-1 at gen178 Univ0 prob=0.424
AgeVaxH35.js:2293 32I x:ageGp:fam 213:2:-1 by blue 710:5:-1 at gen180 Univ0 prob=0.703
AgeVaxH35.js:2293 32I x:ageGp:fam 295:2:-1 by blue 878:6:-1 at gen180 Univ0 prob=0.473
AgeVaxH35.js:2293 32I x:ageGp:fam 637:4:-1 by red 466:3:-1 at gen181 Univ0 prob=0.358
AgeVaxH35.js:2293 34I x:ageGp:fam 962:8:-1 by yellow 637:4:-1 at gen182 Univ0 prob=0.409
AgeVaxH35.js:2293 36I x:ageGp:fam 396:3:-1 by red 466:3:-1 at gen184 Univ0 prob=0.096
AgeVaxH35.js:2293 36I x:ageGp:fam 473:3:-1 by red 466:3:-1 at gen184 Univ0 prob=0.255
AgeVaxH35.js:2293 38I x:ageGp:fam 533:3:-1 by yellow 473:3:-1 at gen186 Univ0 prob=0.605
AgeVaxH35.js:2293 38I x:ageGp:fam 960:8:-1 by blue 660:4:-1 at gen187 Univ0 prob=0.379
AgeVaxH35.js:2293 40I x:ageGp:fam 332:2:-1 by blue 384:3:-1 at gen189 Univ0 prob=0.330
AgeVaxH35.js:2293 40I x:ageGp:fam 478:3:-1 by red 466:3:-1 at gen189 Univ0 prob=0.236
AgeVaxH35.js:2293 40I x:ageGp:fam 107:1:-1 by yellow 332:2:-1 at gen190 Univ0 prob=0.873
AgeVaxH35.js:2293 40I x:ageGp:fam 763:5:-1 by green 107:1:-1 at gen190 Univ0 prob=0.448
AgeVaxH35.js:2293 42I x:ageGp:fam 106:1:-1 by yellow 473:3:-1 at gen191 Univ0 prob=0.354
AgeVaxH35.js:2293 44I x:ageGp:fam 652:4:-1 by blue 544:4:-1 at gen192 Univ0 prob=0.391
AgeVaxH35.js:2293 45I x:ageGp:fam 764:5:-1 by blue 383:3:-1 at gen193 Univ0 prob=0.542
AgeVaxH35.js:2293 46I x:ageGp:fam 20:0:-1 by blue 904:7:-1 at gen194 Univ0 prob=0.593
AgeVaxH35.js:2293 47I x:ageGp:fam 805:5:-1 by blue 376:3:-1 at gen195 Univ0 prob=0.246
AgeVaxH35.js:2293 49I x:ageGp:fam 27:0:-1 by blue 660:4:-1 at gen197 Univ0 prob=0.471
AgeVaxH35.js:2293 49I x:ageGp:fam 603:4:-1 by blue 114:1:-1 at gen197 Univ0 prob=0.706
AgeVaxH35.js:2293 49I x:ageGp:fam 791:5:-1 by yellow 332:2:-1 at gen197 Univ0 prob=0.830
AgeVaxH35.js:2293 49I x:ageGp:fam 946:7:-1 by red 710:5:-1 at gen198 Univ0 prob=0.665
AgeVaxH35.js:2293 53I x:ageGp:fam 200:2:-1 by blue 547:4:-1 at gen200 Univ0 prob=0.267
AgeVaxH35.js:2293 53I x:ageGp:fam 281:2:-1 by blue 384:3:-1 at gen200 Univ0 prob=0.738
AgeVaxH35.js:2293 53I x:ageGp:fam 2:0:-1 by blue 660:4:-1 at gen201 Univ0 prob=0.188
AgeVaxH35.js:2293 53I x:ageGp:fam 595:4:-1 by blue 383:3:-1 at gen201 Univ0 prob=0.541
AgeVaxH35.js:2293 57I x:ageGp:fam 841:6:-1 by blue 593:4:-1 at gen203 Univ0 prob=0.273
AgeVaxH35.js:2293 58I x:ageGp:fam 879:6:-1 by blue 114:1:-1 at gen208 Univ0 prob=0.432
AgeVaxH35.js:2293 58I x:ageGp:fam 399:3:-1 by blue 969:8:-1 at gen208 Univ0 prob=0.069
AgeVaxH35.js:2293 60I x:ageGp:fam 324:2:-1 by blue 904:7:-1 at gen210 Univ0 prob=0.152
AgeVaxH35.js:2293 61I x:ageGp:fam 835:6:-1 by red 593:4:-1 at gen216 Univ0 prob=0.487
AgeVaxH35.js:2293 61I x:ageGp:fam 717:5:-1 by blue 109:1:-1 at gen217 Univ0 prob=0.169
AgeVaxH35.js:2293 63I x:ageGp:fam 312:2:-1 by blue 915:7:-1 at gen223 Univ0 prob=0.584
AgeVaxH35.js:2293 64I x:ageGp:fam 527:3:-1 by blue 954:8:-1 at gen227 Univ0 prob=0.285
AgeVaxH35.js:2293 64I x:ageGp:fam 901:6:-1 by blue 915:7:-1 at gen227 Univ0 prob=0.375
AgeVaxH35.js:2293 64I x:ageGp:fam 917:7:-1 by blue 954:8:-1 at gen227 Univ0 prob=0.296
AgeVaxH35.js:2293 67I x:ageGp:fam 818:5:-1 by blue 114:1:-1 at gen229 Univ0 prob=0.616
AgeVaxH35.js:2293 67I x:ageGp:fam 743:5:-1 by blue 954:8:-1 at gen229 Univ0 prob=0.052
AgeVaxH35.js:2293 67I x:ageGp:fam 540:3:-1 by red 969:8:-1 at gen230 Univ0 prob=0.962
AgeVaxH35.js:2293 67I x:ageGp:fam 580:4:-1 by blue 810:5:-1 at gen230 Univ0 prob=0.706
AgeVaxH35.js:2293 71I x:ageGp:fam 387:3:-1 by red 376:3:-1 at gen232 Univ0 prob=0.040
AgeVaxH35.js:2293 71I x:ageGp:fam 448:3:-1 by yellow 743:5:-1 at gen232 Univ0 prob=0.333
AgeVaxH35.js:2293 71I x:ageGp:fam 689:4:-1 by blue 954:8:-1 at gen232 Univ0 prob=0.371
AgeVaxH35.js:2293 71I x:ageGp:fam 230:2:-1 by blue 963:8:-1 at gen233 Univ0 prob=0.757
AgeVaxH35.js:2293 71I x:ageGp:fam 323:2:-1 by red 983:9:-1 at gen233 Univ0 prob=0.825
AgeVaxH35.js:2293 71I x:ageGp:fam 612:4:-1 by blue 335:2:-1 at gen233 Univ0 prob=0.404
AgeVaxH35.js:2293 71I x:ageGp:fam 486:3:-1 by yellow 689:4:-1 at gen233 Univ0 prob=0.419
AgeVaxH35.js:2293 71I x:ageGp:fam 619:4:-1 by blue 904:7:-1 at gen233 Univ0 prob=0.324
AgeVaxH35.js:2293 74I x:ageGp:fam 225:2:-1 by blue 398:3:-1 at gen234 Univ0 prob=0.198
AgeVaxH35.js:2293 74I x:ageGp:fam 928:7:-1 by red 466:3:-1 at gen234 Univ0 prob=0.731
AgeVaxH35.js:2293 79I x:ageGp:fam 371:3:-1 by red 710:5:-1 at gen235 Univ0 prob=0.318
AgeVaxH35.js:2293 81I x:ageGp:fam 246:2:-1 by blue 810:5:-1 at gen236 Univ0 prob=0.636
AgeVaxH35.js:2293 81I x:ageGp:fam 446:3:-1 by blue 547:4:-1 at gen236 Univ0 prob=0.207
AgeVaxH35.js:2293 82I x:ageGp:fam 171:2:-1 by blue 453:3:-1 at gen237 Univ0 prob=0.208
AgeVaxH35.js:2293 82I x:ageGp:fam 725:5:-1 by yellow 446:3:-1 at gen237 Univ0 prob=0.623
AgeVaxH35.js:2293 86I x:ageGp:fam 571:4:-1 by red 983:9:-1 at gen239 Univ0 prob=0.493
AgeVaxH35.js:2293 86I x:ageGp:fam 991:9:-1 by blue 960:8:-1 at gen239 Univ0 prob=0.015
AgeVaxH35.js:2293 86I x:ageGp:fam 339:2:-1 by blue 102:1:-1 at gen240 Univ0 prob=0.304
AgeVaxH35.js:2293 88I x:ageGp:fam 55:1:-1 by red 878:6:-1 at gen241 Univ0 prob=0.648
AgeVaxH35.js:2293 88I x:ageGp:fam 138:2:-1 by yellow 571:4:-1 at gen241 Univ0 prob=0.575
AgeVaxH35.js:2293 89I x:ageGp:fam 32:0:-1 by yellow 764:5:-1 at gen242 Univ0 prob=0.718
AgeVaxH35.js:2293 89I x:ageGp:fam 34:0:-1 by red 544:4:-1 at gen242 Univ0 prob=0.039
AgeVaxH35.js:2293 89I x:ageGp:fam 95:1:-1 by red 383:3:-1 at gen242 Univ0 prob=0.192
AgeVaxH35.js:2293 89I x:ageGp:fam 836:6:-1 by yellow 764:5:-1 at gen242 Univ0 prob=0.209
AgeVaxH35.js:2293 91I x:ageGp:fam 537:3:-1 by red 544:4:-1 at gen243 Univ0 prob=0.087
AgeVaxH35.js:2293 91I x:ageGp:fam 759:5:-1 by red 983:9:-1 at gen243 Univ0 prob=0.863
AgeVaxH35.js:2293 95I x:ageGp:fam 634:4:-1 by yellow 34:0:-1 at gen244 Univ0 prob=0.850
AgeVaxH35.js:2293 95I x:ageGp:fam 46:1:-1 by blue 819:5:-1 at gen244 Univ0 prob=0.222
AgeVaxH35.js:2293 95I x:ageGp:fam 394:3:-1 by red 660:4:-1 at gen244 Univ0 prob=0.191
AgeVaxH35.js:2293 95I x:ageGp:fam 588:4:-1 by blue 954:8:-1 at gen244 Univ0 prob=0.325
AgeVaxH35.js:2293 97I x:ageGp:fam 75:1:-1 by red 114:1:-1 at gen245 Univ0 prob=0.961
AgeVaxH35.js:2293 97I x:ageGp:fam 520:3:-1 by blue 963:8:-1 at gen245 Univ0 prob=0.301
AgeVaxH35.js:2293 101I x:ageGp:fam 30:0:-1 by blue 915:7:-1 at gen246 Univ0 prob=0.344
AgeVaxH35.js:2293 101I x:ageGp:fam 523:3:-1 by blue 915:7:-1 at gen246 Univ0 prob=0.003
AgeVaxH35.js:2293 105I x:ageGp:fam 169:2:-1 by red 660:4:-1 at gen248 Univ0 prob=0.006
AgeVaxH35.js:2293 106I x:ageGp:fam 975:8:-1 by red 544:4:-1 at gen250 Univ0 prob=0.272
AgeVaxH35.js:2293 107I x:ageGp:fam 740:5:-1 by blue 398:3:-1 at gen253 Univ0 prob=0.612
AgeVaxH35.js:2293 107I x:ageGp:fam 168:2:-1 by red 383:3:-1 at gen254 Univ0 prob=0.776
AgeVaxH35.js:2293 108I x:ageGp:fam 714:5:-1 by blue 819:5:-1 at gen255 Univ0 prob=0.391
AgeVaxH35.js:2293 109I x:ageGp:fam 115:1:-1 by red 376:3:-1 at gen256 Univ0 prob=0.496
AgeVaxH35.js:2293 109I x:ageGp:fam 192:2:-1 by blue 398:3:-1 at gen256 Univ0 prob=0.333
AgeVaxH35.js:2293 109I x:ageGp:fam 498:3:-1 by red 878:6:-1 at gen256 Univ0 prob=0.243
AgeVaxH35.js:2293 113I x:ageGp:fam 84:1:-1 by blue 652:4:-1 at gen258 Univ0 prob=0.024
AgeVaxH35.js:2293 113I x:ageGp:fam 350:2:-1 by blue 335:2:-1 at gen258 Univ0 prob=0.381
AgeVaxH35.js:2293 113I x:ageGp:fam 863:6:-1 by blue 478:3:-1 at gen258 Univ0 prob=0.848
AgeVaxH35.js:2293 116I x:ageGp:fam 160:2:-1 by blue 603:4:-1 at gen260 Univ0 prob=0.705
AgeVaxH35.js:2293 116I x:ageGp:fam 480:3:-1 by blue 963:8:-1 at gen260 Univ0 prob=0.739
AgeVaxH35.js:2293 116I x:ageGp:fam 753:5:-1 by red 878:6:-1 at gen260 Univ0 prob=0.285
AgeVaxH35.js:2293 116I x:ageGp:fam 943:7:-1 by blue 962:8:-1 at gen261 Univ0 prob=0.128
AgeVaxH35.js:2293 119I x:ageGp:fam 514:3:-1 by blue 47:1:-1 at gen262 Univ0 prob=0.769
AgeVaxH35.js:2293 120I x:ageGp:fam 782:5:-1 by yellow 753:5:-1 at gen263 Univ0 prob=0.226
AgeVaxH35.js:2293 120I x:ageGp:fam 923:7:-1 by red 969:8:-1 at gen263 Univ0 prob=0.978
AgeVaxH35.js:2293 121I x:ageGp:fam 320:2:-1 by blue 910:7:-1 at gen264 Univ0 prob=0.229
AgeVaxH35.js:2293 124I x:ageGp:fam 887:6:-1 by blue 213:2:-1 at gen266 Univ0 prob=0.508
AgeVaxH35.js:2293 124I x:ageGp:fam 492:3:-1 by blue 102:1:-1 at gen267 Univ0 prob=0.979
AgeVaxH35.js:2293 124I x:ageGp:fam 795:5:-1 by red 383:3:-1 at gen267 Univ0 prob=0.500
AgeVaxH35.js:2293 125I x:ageGp:fam 13:0:-1 by blue 335:2:-1 at gen268 Univ0 prob=0.276
AgeVaxH35.js:2293 125I x:ageGp:fam 121:1:-1 by blue 47:1:-1 at gen268 Univ0 prob=0.706
AgeVaxH35.js:2293 125I x:ageGp:fam 715:5:-1 by blue 652:4:-1 at gen268 Univ0 prob=0.122
AgeVaxH35.js:2293 127I x:ageGp:fam 363:3:-1 by blue 47:1:-1 at gen269 Univ0 prob=0.880
AgeVaxH35.js:2293 127I x:ageGp:fam 191:2:-1 by red 660:4:-1 at gen269 Univ0 prob=0.083
AgeVaxH35.js:2293 127I x:ageGp:fam 630:4:-1 by blue 399:3:-1 at gen269 Univ0 prob=0.894
AgeVaxH35.js:2293 127I x:ageGp:fam 427:3:-1 by blue 841:6:-1 at gen269 Univ0 prob=0.492
AgeVaxH35.js:2293 127I x:ageGp:fam 464:3:-1 by red 547:4:-1 at gen269 Univ0 prob=0.394
AgeVaxH35.js:2293 130I x:ageGp:fam 566:4:-1 by blue 332:2:-1 at gen270 Univ0 prob=0.048
