Some messages have been moved to the Issues panel.
​ Fri Jan 22 2021 23:39:57 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 10
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7
​ 1I x:ageGp:fam 481:3:-1 by red 150:2:-1 at gen42 Univ0 prob=0.811
​ 2I x:ageGp:fam 511:3:-1 by red 150:2:-1 at gen85 Univ0 prob=0.575
​ 2I x:ageGp:fam 654:4:-1 by red 150:2:-1 at gen86 Univ0 prob=0.775
​ 4I x:ageGp:fam 110:1:-1 by yellow 654:4:-1 at gen93 Univ0 prob=0.090
​ 5I x:ageGp:fam 986:9:-1 by blue 481:3:-1 at gen102 Univ0 prob=0.463
​ 6I x:ageGp:fam 852:6:-1 by red 150:2:-1 at gen105 Univ0 prob=0.780
​ 7I x:ageGp:fam 524:3:-1 by blue 481:3:-1 at gen124 Univ0 prob=0.802
​ 8I x:ageGp:fam 653:4:-1 by blue 481:3:-1 at gen131 Univ0 prob=0.695
​ 9I x:ageGp:fam 504:3:-1 by blue 654:4:-1 at gen153 Univ0 prob=0.531
​ 10I x:ageGp:fam 248:2:-1 by red 481:3:-1 at gen159 Univ0 prob=0.003
​ 11I x:ageGp:fam 879:6:-1 by blue 511:3:-1 at gen161 Univ0 prob=0.366
​ 11I x:ageGp:fam 21:0:-1 by blue 654:4:-1 at gen162 Univ0 prob=0.710
​ 13I x:ageGp:fam 260:2:-1 by blue 654:4:-1 at gen168 Univ0 prob=0.407
​ 14I x:ageGp:fam 695:5:-1 by blue 511:3:-1 at gen173 Univ0 prob=0.979
​ 15I x:ageGp:fam 52:1:-1 by blue 654:4:-1 at gen175 Univ0 prob=0.403
​ 16I x:ageGp:fam 580:4:-1 by blue 986:9:-1 at gen182 Univ0 prob=0.992
​ 16I x:ageGp:fam 797:5:-1 by blue 986:9:-1 at gen182 Univ0 prob=0.163
​ 18I x:ageGp:fam 840:6:-1 by blue 986:9:-1 at gen185 Univ0 prob=0.861
​ 18I x:ageGp:fam 40:1:-1 by blue 511:3:-1 at gen186 Univ0 prob=0.387
​ 18I x:ageGp:fam 408:3:-1 by blue 110:1:-1 at gen186 Univ0 prob=0.010
​ 18I x:ageGp:fam 384:3:-1 by blue 653:4:-1 at gen186 Univ0 prob=0.244
​ 22I x:ageGp:fam 90:1:-1 by blue 986:9:-1 at gen190 Univ0 prob=0.579
​ 23I x:ageGp:fam 111:1:-1 by blue 654:4:-1 at gen192 Univ0 prob=0.712
​ 23I x:ageGp:fam 144:2:-1 by blue 852:6:-1 at gen192 Univ0 prob=0.244
​ 25I x:ageGp:fam 787:5:-1 by red 511:3:-1 at gen206 Univ0 prob=0.857
​ 26I x:ageGp:fam 436:3:-1 by blue 654:4:-1 at gen208 Univ0 prob=0.483
​ 27I x:ageGp:fam 232:2:-1 by red 511:3:-1 at gen212 Univ0 prob=0.772
​ 28I x:ageGp:fam 139:2:-1 by blue 653:4:-1 at gen215 Univ0 prob=0.051
​ 28I x:ageGp:fam 373:3:-1 by yellow 139:2:-1 at gen216 Univ0 prob=0.043
​ 28I x:ageGp:fam 561:4:-1 by red 654:4:-1 at gen216 Univ0 prob=0.281
​ 29I x:ageGp:fam 740:5:-1 by red 654:4:-1 at gen217 Univ0 prob=0.260
​ 31I x:ageGp:fam 698:5:-1 by blue 21:0:-1 at gen218 Univ0 prob=0.675
​ 31I x:ageGp:fam 165:2:-1 by yellow 232:2:-1 at gen218 Univ0 prob=0.813
​ 34I x:ageGp:fam 127:1:-1 by blue 986:9:-1 at gen220 Univ0 prob=0.258
​ 34I x:ageGp:fam 293:2:-1 by blue 524:3:-1 at gen220 Univ0 prob=0.328
​ 36I x:ageGp:fam 201:2:-1 by blue 879:6:-1 at gen222 Univ0 prob=0.797
​ 36I x:ageGp:fam 627:4:-1 by blue 852:6:-1 at gen223 Univ0 prob=0.574
​ 38I x:ageGp:fam 587:4:-1 by blue 653:4:-1 at gen228 Univ0 prob=0.899
​ 38I x:ageGp:fam 3:0:-1 by blue 524:3:-1 at gen229 Univ0 prob=0.528
​ 38I x:ageGp:fam 340:2:-1 by blue 260:2:-1 at gen229 Univ0 prob=0.044
​ 38I x:ageGp:fam 446:3:-1 by blue 653:4:-1 at gen229 Univ0 prob=0.124
​ 38I x:ageGp:fam 899:6:-1 by blue 695:5:-1 at gen229 Univ0 prob=0.610
​ 39I x:ageGp:fam 327:2:-1 by yellow 446:3:-1 at gen230 Univ0 prob=0.677
​ 44I x:ageGp:fam 11:0:-1 by yellow 3:0:-1 at gen232 Univ0 prob=0.282
​ 44I x:ageGp:fam 428:3:-1 by blue 248:2:-1 at gen232 Univ0 prob=0.859
​ 46I x:ageGp:fam 870:6:-1 by blue 879:6:-1 at gen234 Univ0 prob=0.036
​ 47I x:ageGp:fam 685:4:-1 by red 511:3:-1 at gen237 Univ0 prob=0.559
​ 47I x:ageGp:fam 727:5:-1 by blue 248:2:-1 at gen238 Univ0 prob=0.500
