Some messages have been moved to the Issues panel.
​ Sat Jan 23 2021 00:20:26 GMT-0800 (Pacific Standard Time)
​ CovidSIMVL Mode1 and Mod2 Hybrid 35d
​ Mode 1 >13 and <36 is 75%
​ Mode 2 >28 is 95%; >13 and <29 is 75%
​ exit covidSim
​ getAsText File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ File {name: "Popn1000.csv", lastModified: 1611021598000, lastModifiedDate: Mon Jan 18 2021 17:59:58 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
​ getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
​ Red Days changed to 9.9
​ New Hazard Radius = 1.3
​ new Mingle Factor = 7.5
​ 1I x:ageGp:fam 541:4:-1 by blue 150:2:-1 at gen34 Univ0 prob=0.461
​ 2I x:ageGp:fam 564:4:-1 by red 150:2:-1 at gen73 Univ0 prob=0.341
​ 3I x:ageGp:fam 617:4:-1 by yellow 541:4:-1 at gen82 Univ0 prob=0.778
​ 4I x:ageGp:fam 901:6:-1 by blue 541:4:-1 at gen110 Univ0 prob=0.257
​ 4I x:ageGp:fam 754:5:-1 by red 150:2:-1 at gen111 Univ0 prob=0.679
​ 6I x:ageGp:fam 481:3:-1 by red 150:2:-1 at gen118 Univ0 prob=0.481
​ 7I x:ageGp:fam 930:7:-1 by red 150:2:-1 at gen123 Univ0 prob=0.579
​ 8I x:ageGp:fam 168:2:-1 by blue 541:4:-1 at gen133 Univ0 prob=0.381
​ 8I x:ageGp:fam 354:2:-1 by blue 541:4:-1 at gen133 Univ0 prob=0.502
​ 10I x:ageGp:fam 293:2:-1 by blue 541:4:-1 at gen136 Univ0 prob=0.128
​ 11I x:ageGp:fam 101:1:-1 by yellow 168:2:-1 at gen138 Univ0 prob=0.208
​ 12I x:ageGp:fam 580:4:-1 by blue 564:4:-1 at gen148 Univ0 prob=0.603
​ 13I x:ageGp:fam 380:3:-1 by red 541:4:-1 at gen161 Univ0 prob=0.254
​ 14I x:ageGp:fam 993:9:-1 by blue 564:4:-1 at gen165 Univ0 prob=0.673
​ 15I x:ageGp:fam 73:1:-1 by blue 564:4:-1 at gen167 Univ0 prob=0.777
​ 16I x:ageGp:fam 854:6:-1 by blue 617:4:-1 at gen172 Univ0 prob=0.017
​ 17I x:ageGp:fam 764:5:-1 by red 541:4:-1 at gen175 Univ0 prob=0.948
​ 18I x:ageGp:fam 600:4:-1 by blue 930:7:-1 at gen182 Univ0 prob=0.638
​ 19I x:ageGp:fam 950:8:-1 by blue 754:5:-1 at gen187 Univ0 prob=0.758
​ 19I x:ageGp:fam 54:1:-1 by blue 901:6:-1 at gen188 Univ0 prob=0.837
​ 19I x:ageGp:fam 836:6:-1 by blue 754:5:-1 at gen188 Univ0 prob=0.081
​ 20I x:ageGp:fam 232:2:-1 by blue 617:4:-1 at gen189 Univ0 prob=0.904
​ 23I x:ageGp:fam 257:2:-1 by blue 930:7:-1 at gen197 Univ0 prob=0.327
​ 23I x:ageGp:fam 882:6:-1 by red 541:4:-1 at gen198 Univ0 prob=0.670
​ 25I x:ageGp:fam 684:4:-1 by blue 481:3:-1 at gen202 Univ0 prob=0.013
​ 26I x:ageGp:fam 508:3:-1 by yellow 882:6:-1 at gen204 Univ0 prob=0.577
​ 26I x:ageGp:fam 172:2:-1 by yellow 882:6:-1 at gen205 Univ0 prob=0.333
​ 28I x:ageGp:fam 735:5:-1 by blue 293:2:-1 at gen208 Univ0 prob=0.593
​ 29I x:ageGp:fam 277:2:-1 by blue 481:3:-1 at gen211 Univ0 prob=0.529
​ 29I x:ageGp:fam 792:5:-1 by red 617:4:-1 at gen211 Univ0 prob=0.221
​ 31I x:ageGp:fam 665:4:-1 by red 617:4:-1 at gen214 Univ0 prob=0.459
​ 32I x:ageGp:fam 507:3:-1 by blue 354:2:-1 at gen223 Univ0 prob=0.801
​ 32I x:ageGp:fam 837:6:-1 by blue 754:5:-1 at gen223 Univ0 prob=0.469
​ 32I x:ageGp:fam 878:6:-1 by blue 293:2:-1 at gen224 Univ0 prob=0.555
​ 34I x:ageGp:fam 365:3:-1 by red 617:4:-1 at gen225 Univ0 prob=0.642
​ 36I x:ageGp:fam 561:4:-1 by red 617:4:-1 at gen230 Univ0 prob=0.507
​ 36I x:ageGp:fam 704:5:-1 by blue 580:4:-1 at gen230 Univ0 prob=0.826
​ 38I x:ageGp:fam 263:2:-1 by yellow 54:1:-1 at gen238 Univ0 prob=0.718
​ 39I x:ageGp:fam 64:1:-1 by blue 380:3:-1 at gen244 Univ0 prob=0.837
​ 39I x:ageGp:fam 364:3:-1 by red 617:4:-1 at gen245 Univ0 prob=0.412
​ 39I x:ageGp:fam 829:6:-1 by green 364:3:-1 at gen245 Univ0 prob=0.325
​ 42I x:ageGp:fam 45:1:-1 by red 541:4:-1 at gen247 Univ0 prob=0.526
​ 42I x:ageGp:fam 84:1:-1 by red 564:4:-1 at gen247 Univ0 prob=0.811
​ 42I x:ageGp:fam 807:5:-1 by blue 854:6:-1 at gen247 Univ0 prob=0.379
​ 45I x:ageGp:fam 341:2:-1 by blue 854:6:-1 at gen250 Univ0 prob=0.832
​ 46I x:ageGp:fam 143:2:-1 by red 541:4:-1 at gen252 Univ0 prob=0.537
​ 46I x:ageGp:fam 823:6:-1 by red 754:5:-1 at gen252 Univ0 prob=0.463
​ 46I x:ageGp:fam 942:7:-1 by red 481:3:-1 at gen253 Univ0 prob=0.653
