Some messages have been moved to the Issues panel.
AgeVaxH35.js:871 Sat Jan 23 2021 12:41:00 GMT-0800 (Pacific Standard Time)
AgeVaxH35.js:872 CovidSIMVL Mode1 and Mod2 Hybrid 35d
AgeVaxH35.js:873 Mode 1 >13 and <36 is 75%
AgeVaxH35.js:874 Mode 2 >28 is 95%; >13 and <29 is 75%
AgeVaxH35.js:4457 exit covidSim
AgeVaxH35.js:23 getAsText File {name: "Popn1000.csv", lastModified: 1611430642000, lastModifiedDate: Sat Jan 23 2021 11:37:22 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:32 File {name: "Popn1000.csv", lastModified: 1611430642000, lastModifiedDate: Sat Jan 23 2021 11:37:22 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 23944, …}
AgeVaxH35.js:23 getAsText File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:32 File {name: "VL1ageGp2.csv", lastModified: 1611004274000, lastModifiedDate: Mon Jan 18 2021 13:11:14 GMT-0800 (Pacific Standard Time), webkitRelativePath: "", size: 65, …}
AgeVaxH35.js:1674 Red Days changed to 8.2
AgeVaxH35.js:1696 New Hazard Radius = 2
AgeVaxH35.js:2302 1I x:ageGp:fam 930:7:-1 by blue 150:2:-1 at gen2 Univ0 prob=0.101
AgeVaxH35.js:2302 2I x:ageGp:fam 693:5:-1 by blue 150:2:-1 at gen8 Univ0 prob=0.089
AgeVaxH35.js:2302 3I x:ageGp:fam 255:2:-1 by blue 930:7:-1 at gen72 Univ0 prob=0.390
AgeVaxH35.js:2302 4I x:ageGp:fam 99:1:-1 by blue 693:5:-1 at gen83 Univ0 prob=0.886
AgeVaxH35.js:2302 5I x:ageGp:fam 718:5:-1 by red 150:2:-1 at gen85 Univ0 prob=0.903
AgeVaxH35.js:2302 6I x:ageGp:fam 605:4:-1 by blue 693:5:-1 at gen88 Univ0 prob=0.015
AgeVaxH35.js:2302 7I x:ageGp:fam 182:2:-1 by blue 693:5:-1 at gen115 Univ0 prob=0.874
AgeVaxH35.js:2302 8I x:ageGp:fam 969:8:-1 by blue 930:7:-1 at gen117 Univ0 prob=0.264
AgeVaxH35.js:2302 9I x:ageGp:fam 903:7:-1 by yellow 255:2:-1 at gen122 Univ0 prob=0.223
AgeVaxH35.js:2302 10I x:ageGp:fam 19:0:-1 by red 693:5:-1 at gen130 Univ0 prob=0.341
AgeVaxH35.js:2302 10I x:ageGp:fam 127:1:-1 by yellow 99:1:-1 at gen131 Univ0 prob=0.250
AgeVaxH35.js:2302 10I x:ageGp:fam 205:2:-1 by yellow 99:1:-1 at gen131 Univ0 prob=0.642
AgeVaxH35.js:2302 13I x:ageGp:fam 875:6:-1 by blue 605:4:-1 at gen138 Univ0 prob=0.597
AgeVaxH35.js:2302 14I x:ageGp:fam 793:5:-1 by blue 99:1:-1 at gen142 Univ0 prob=0.429
AgeVaxH35.js:2302 15I x:ageGp:fam 798:5:-1 by blue 605:4:-1 at gen144 Univ0 prob=0.361
AgeVaxH35.js:2302 16I x:ageGp:fam 700:5:-1 by blue 255:2:-1 at gen146 Univ0 prob=0.934
AgeVaxH35.js:2302 16I x:ageGp:fam 681:4:-1 by red 930:7:-1 at gen147 Univ0 prob=0.986
AgeVaxH35.js:2302 18I x:ageGp:fam 126:1:-1 by red 930:7:-1 at gen152 Univ0 prob=0.566
AgeVaxH35.js:2302 19I x:ageGp:fam 233:2:-1 by blue 99:1:-1 at gen154 Univ0 prob=0.510
AgeVaxH35.js:2302 20I x:ageGp:fam 973:8:-1 by blue 255:2:-1 at gen157 Univ0 prob=0.911
AgeVaxH35.js:2302 21I x:ageGp:fam 180:2:-1 by blue 255:2:-1 at gen159 Univ0 prob=0.540
AgeVaxH35.js:2302 21I x:ageGp:fam 300:2:-1 by red 693:5:-1 at gen159 Univ0 prob=0.980
AgeVaxH35.js:2302 23I x:ageGp:fam 104:1:-1 by blue 605:4:-1 at gen161 Univ0 prob=0.838
AgeVaxH35.js:2302 23I x:ageGp:fam 488:3:-1 by blue 718:5:-1 at gen162 Univ0 prob=0.784
AgeVaxH35.js:2302 25I x:ageGp:fam 781:5:-1 by red 693:5:-1 at gen164 Univ0 prob=0.458
AgeVaxH35.js:2302 26I x:ageGp:fam 370:3:-1 by blue 718:5:-1 at gen169 Univ0 prob=0.452
AgeVaxH35.js:2302 27I x:ageGp:fam 666:4:-1 by blue 605:4:-1 at gen181 Univ0 prob=0.466
AgeVaxH35.js:2302 28I x:ageGp:fam 252:2:-1 by red 930:7:-1 at gen189 Univ0 prob=0.212
AgeVaxH35.js:2302 29I x:ageGp:fam 708:5:-1 by blue 182:2:-1 at gen196 Univ0 prob=0.927
AgeVaxH35.js:2302 30I x:ageGp:fam 254:2:-1 by blue 793:5:-1 at gen198 Univ0 prob=0.958
AgeVaxH35.js:2302 30I x:ageGp:fam 284:2:-1 by blue 798:5:-1 at gen199 Univ0 prob=0.008
AgeVaxH35.js:2302 30I x:ageGp:fam 884:6:-1 by blue 903:7:-1 at gen199 Univ0 prob=0.952
AgeVaxH35.js:2302 31I x:ageGp:fam 65:1:-1 by red 718:5:-1 at gen200 Univ0 prob=0.721
AgeVaxH35.js:2302 33I x:ageGp:fam 64:1:-1 by yellow 65:1:-1 at gen201 Univ0 prob=0.443
AgeVaxH35.js:2302 35I x:ageGp:fam 909:7:-1 by red 99:1:-1 at gen206 Univ0 prob=0.469
AgeVaxH35.js:2302 36I x:ageGp:fam 810:5:-1 by blue 875:6:-1 at gen210 Univ0 prob=0.344
AgeVaxH35.js:2302 37I x:ageGp:fam 824:6:-1 by red 718:5:-1 at gen213 Univ0 prob=0.997
AgeVaxH35.js:2302 38I x:ageGp:fam 54:1:-1 by blue 180:2:-1 at gen215 Univ0 prob=0.668
AgeVaxH35.js:2302 39I x:ageGp:fam 730:5:-1 by blue 233:2:-1 at gen218 Univ0 prob=0.332
AgeVaxH35.js:2302 39I x:ageGp:fam 710:5:-1 by blue 700:5:-1 at gen219 Univ0 prob=0.004
AgeVaxH35.js:2302 41I x:ageGp:fam 27:0:-1 by red 718:5:-1 at gen221 Univ0 prob=0.324
AgeVaxH35.js:2302 41I x:ageGp:fam 71:1:-1 by blue 182:2:-1 at gen221 Univ0 prob=0.536
AgeVaxH35.js:2302 43I x:ageGp:fam 684:4:-1 by blue 700:5:-1 at gen223 Univ0 prob=0.445
AgeVaxH35.js:2302 44I x:ageGp:fam 261:2:-1 by blue 182:2:-1 at gen233 Univ0 prob=0.949
AgeVaxH35.js:2302 44I x:ageGp:fam 429:3:-1 by blue 370:3:-1 at gen233 Univ0 prob=0.343
AgeVaxH35.js:2302 44I x:ageGp:fam 584:4:-1 by red 99:1:-1 at gen234 Univ0 prob=0.281
AgeVaxH35.js:2302 44I x:ageGp:fam 361:3:-1 by blue 104:1:-1 at gen234 Univ0 prob=0.736
AgeVaxH35.js:2302 44I x:ageGp:fam 360:3:-1 by blue 182:2:-1 at gen234 Univ0 prob=0.895
AgeVaxH35.js:2302 49I x:ageGp:fam 45:1:-1 by blue 798:5:-1 at gen236 Univ0 prob=0.803
AgeVaxH35.js:2302 49I x:ageGp:fam 214:2:-1 by red 255:2:-1 at gen237 Univ0 prob=0.745
AgeVaxH35.js:2302 49I x:ageGp:fam 272:2:-1 by red 605:4:-1 at gen237 Univ0 prob=0.939
AgeVaxH35.js:2302 50I x:ageGp:fam 396:3:-1 by blue 700:5:-1 at gen238 Univ0 prob=0.506
AgeVaxH35.js:2302 50I x:ageGp:fam 533:3:-1 by red 605:4:-1 at gen238 Univ0 prob=0.127
AgeVaxH35.js:2302 52I x:ageGp:fam 879:6:-1 by blue 973:8:-1 at gen239 Univ0 prob=0.609
