Biter,Victim,Gen
1,343,350
1,435,377
1,110,413
1,34,430
3,640,393
5,566,334
5,455,348
5,31,355
6,884,374
7,635,353
7,406,402
7,604,402
7,99,473
9,91,360
9,854,390
11,373,232
11,882,254
11,983,306
11,138,350
11,483,357
13,665,537
17,87,483
18,340,320
18,253,404
18,137,439
22,733,134
22,29,140
22,672,237
22,903,247
22,115,264
22,815,289
22,851,339
23,980,335
23,477,338
24,57,485
25,214,319
25,288,345
25,852,345
25,540,354
25,783,363
25,837,384
25,816,390
27,117,381
27,297,405
27,547,527
28,485,294
28,458,311
28,870,312
28,465,325
28,111,358
28,316,401
28,677,405
29,106,237
29,894,237
29,1,241
29,313,246
29,931,279
29,167,311
29,192,322
29,905,325
29,509,330
36,385,342
36,208,349
36,142,358
36,811,423
37,800,449
37,88,458
40,24,405
44,81,457
44,317,464
49,975,439
49,529,453
51,574,267
51,141,368
51,768,407
58,200,470
59,532,323
59,567,385
61,917,665
64,720,476
66,937,317
66,154,359
66,248,361
66,311,394
67,727,476
67,474,514
70,533,369
70,434,383
71,539,425
73,55,423
73,490,429
74,744,467
76,841,334
76,112,379
76,713,397
77,867,238
77,770,263
77,488,300
79,701,347
79,801,358
79,166,386
83,585,282
83,576,305
83,365,329
85,278,396
86,185,399
86,391,409
93,204,498
94,551,423
96,647,407
96,349,488
103,595,303
103,584,411
104,631,404
104,45,409
105,223,426
106,59,241
106,700,365
106,691,400
108,496,412
108,643,441
111,171,466
111,740,495
113,73,342
113,489,342
113,146,366
113,234,407
113,243,416
114,113,294
114,432,296
114,250,300
114,72,378
117,508,459
117,100,476
122,577,315
122,869,395
122,856,398
122,257,430
124,571,319
124,352,323
124,518,365
124,912,366
125,723,321
125,446,324
125,660,424
126,457,274
126,431,298
126,804,308
126,771,416
126,594,423
128,492,174
128,651,243
128,615,245
128,310,261
128,601,287
128,459,296
128,295,311
130,505,451
131,159,391
134,569,360
135,972,526
136,961,309
136,626,469
139,728,201
139,218,206
139,232,233
139,237,235
139,245,239
139,225,246
139,342,263
139,401,322
141,965,445
142,118,448
144,183,218
144,390,272
144,284,283
145,362,180
145,28,189
145,442,213
145,23,262
145,221,263
145,217,280
145,96,325
147,249,340
147,507,382
148,347,303
148,35,314
149,210,425
150,920,6
150,542,12
150,671,31
150,591,69
150,430,89
152,79,223
152,125,245
152,563,257
152,105,265
152,36,267
152,977,273
152,191,279
153,589,316
153,827,316
153,609,360
153,765,376
155,580,521
157,382,417
163,454,219
163,463,274
163,538,287
163,746,317
163,607,319
163,958,322
163,749,334
163,803,341
165,264,438
168,353,468
173,579,335
173,473,346
173,842,360
173,553,399
173,133,403
174,26,406
174,504,415
174,256,422
178,236,378
178,938,426
178,238,444
178,448,445
182,747,424
183,918,279
183,908,327
183,104,340
183,155,375
183,855,412
186,945,374
186,20,398
186,242,446
188,164,415
188,710,425
188,901,431
189,822,345
189,663,362
189,583,389
190,807,383
190,304,436
191,711,280
191,484,451
193,891,158
193,906,211
193,929,255
193,85,322
194,451,313
194,775,327
194,645,354
194,646,376
194,359,390
194,797,400
197,199,409
201,653,415
201,605,423
202,833,336
203,102,480
208,829,533
211,2,379
211,687,384
214,291,414
214,418,431
217,341,358
217,784,368
217,786,410
217,636,444
220,668,241
220,525,349
220,810,422
221,486,335
221,303,392
221,78,421
222,190,328
222,174,342
222,520,430
224,602,391
225,301,296
225,990,339
225,330,397
227,440,484
229,763,360
229,962,424
231,258,276
231,808,277
231,165,289
231,782,290
231,109,292
231,188,313
231,252,316
231,995,317
231,241,344
231,212,397
232,181,366
232,638,408
232,863,465
233,216,447
236,143,433
237,222,236
237,586,323
237,745,331
237,495,371
238,622,575
239,831,553
240,268,414
240,345,443
241,339,425
241,826,472
244,970,386
245,419,243
245,679,312
249,758,491
255,730,390
258,179,350
258,348,352
258,848,417
258,4,458
263,544,326
266,209,386
266,387,398
266,251,469
266,180,492
274,898,546
275,845,473
276,644,294
276,326,305
276,30,333
276,548,345
276,308,388
276,282,409
277,674,276
277,481,308
277,3,311
277,986,417
278,943,514
281,862,197
281,907,200
281,593,202
281,18,242
281,620,248
281,762,317
284,9,285
284,33,394
288,482,417
292,412,491
295,662,386
295,68,387
296,537,508
300,558,294
300,900,316
300,725,410
301,318,420
302,964,447
303,956,512
307,380,550
310,452,352
310,950,365
313,916,304
313,933,329
313,108,334
313,731,337
313,861,359
313,417,386
326,785,357
326,793,379
326,886,381
327,982,507
328,305,443
329,642,261
329,158,339
329,969,454
333,716,391
333,718,419
336,828,372
342,512,263
342,90,353
343,230,448
350,632,333
350,708,356
350,37,357
351,669,362
351,233,368
351,0,402
352,63,399
355,560,234
355,329,259
357,421,308
357,621,322
357,323,385
358,872,404
362,235,259
362,770,263
362,843,274
362,846,278
362,516,358
363,121,364
363,354,372
363,286,390
363,606,453
364,15,373
364,705,397
366,215,430
366,19,454
368,194,192
368,397,227
368,709,260
368,51,264
368,559,269
368,290,373
369,649,358
369,779,391
369,513,395
370,77,164
370,541,271
370,131,296
370,266,313
370,360,328
372,769,415
372,324,429
372,866,485
373,270,317
373,441,326
373,411,370
376,582,486
379,333,342
379,149,344
379,847,352
379,835,373
379,92,393
384,911,558
386,381,429
386,973,475
388,393,168
388,534,235
388,592,290
388,420,318
388,403,321
388,809,376
390,274,351
390,46,394
391,914,601
392,413,394
392,778,396
393,114,223
393,506,242
393,379,268
393,899,285
393,941,321
393,895,381
397,336,308
399,536,387
399,52,416
400,587,447
403,698,404
403,402,437
404,575,392
404,813,403
405,351,256
405,888,257
405,202,258
405,676,375
405,176,381
405,175,390
409,543,472
419,201,330
421,129,414
424,279,421
425,200,470
426,794,413
429,132,549
430,703,90
430,370,162
430,688,168
430,355,173
430,971,192
430,231,203
430,981,254
430,263,270
431,107,382
432,998,464
433,53,340
436,374,392
437,750,536
442,741,214
442,255,290
442,561,315
442,156,380
442,883,415
442,666,423
443,447,341
443,425,384
444,478,469
446,298,429
446,462,437
453,369,300
453,494,311
453,195,377
454,126,224
454,683,359
457,116,413
458,497,372
458,491,392
458,889,422
461,751,325
461,706,331
461,588,406
463,759,347
465,976,399
465,184,440
466,471,294
466,436,317
466,364,324
466,168,368
466,89,414
468,735,415
470,989,526
473,332,396
473,445,428
475,948,515
483,875,442
486,38,414
486,791,415
486,798,434
488,767,376
488,555,401
492,453,252
492,517,287
492,6,289
492,315,294
492,280,376
497,944,450
499,60,440
501,893,231
501,531,240
501,405,255
501,556,323
501,178,328
501,953,334
502,229,285
502,885,290
502,685,296
502,98,358
502,818,379
502,521,386
505,987,672
506,554,244
506,552,294
506,992,322
506,439,334
506,865,363
506,975,439
509,625,414
511,247,453
512,734,383
512,880,437
517,909,426
519,681,415
522,61,449
527,991,481
530,383,301
530,670,368
530,50,391
530,611,400
531,404,319
531,309,416
534,186,325
538,915,335
541,376,343
541,610,401
541,198,451
542,281,96
542,777,115
542,152,125
542,952,129
542,163,137
542,11,142
542,940,148
542,600,215
548,535,428
551,467,485
552,511,366
552,119,377
553,840,481
554,721,302
554,686,321
554,468,339
554,367,402
556,472,401
558,773,356
558,261,361
559,514,369
559,949,462
560,787,312
560,902,417
562,772,261
562,157,304
562,963,309
563,409,359
563,634,382
563,630,451
566,839,411
568,122,260
568,928,313
568,658,319
568,415,380
570,838,404
570,850,441
571,273,368
571,724,392
571,449,441
574,629,345
574,219,354
574,578,364
574,302,366
575,283,470
577,761,410
585,400,362
585,714,415
589,694,368
591,139,129
591,368,143
591,193,156
591,947,166
591,128,167
591,597,201
591,502,205
591,300,215
591,277,222
591,271,229
591,993,232
591,729,244
591,530,252
591,994,277
592,515,406
592,526,415
593,161,284
593,224,291
593,617,291
593,296,348
597,147,264
597,307,347
600,182,301
600,796,358
601,335,359
601,557,409
603,410,376
607,293,406
607,667,470
608,260,350
608,140,351
608,690,369
615,465,325
615,675,358
616,792,386
616,470,397
617,664,426
617,673,444
618,608,274
620,40,325
620,207,389
621,320,428
621,395,448
627,624,302
627,476,308
627,123,342
627,812,419
627,650,437
629,120,446
642,197,334
646,764,449
646,428,491
651,612,321
651,806,391
652,939,469
654,702,304
654,704,315
654,127,422
655,427,352
655,527,381
655,788,414
655,226,437
655,480,447
656,172,490
659,444,372
659,456,376
659,408,384
659,820,411
660,988,612
662,503,476
668,366,308
668,814,313
668,743,326
668,151,403
671,144,117
671,876,121
671,22,134
671,83,197
671,955,204
671,881,206
671,684,207
671,627,226
672,755,317
672,696,331
672,732,334
672,717,348
674,737,354
675,934,523
678,742,395
678,897,433
680,416,440
683,294,445
684,203,359
684,130,363
685,510,399
686,93,399
686,80,438
688,76,240
688,461,249
688,890,278
688,346,284
688,211,291
688,94,305
688,849,360
689,598,430
692,84,374
692,864,436
693,581,336
693,923,419
694,21,441
694,299,457
695,450,472
696,892,405
697,173,270
697,616,275
697,27,303
697,240,332
697,275,368
700,160,489
701,858,399
702,523,379
703,388,163
703,757,185
703,357,251
703,781,259
704,564,388
706,795,410
709,327,370
709,799,379
709,550,389
711,62,353
711,170,404
716,177,571
721,487,416
723,479,432
723,590,433
728,738,317
728,942,340
728,817,348
728,414,373
728,319,404
729,363,301
731,960,403
731,657,458
732,779,391
732,344,508
733,654,223
733,136,261
733,692,292
733,399,296
733,924,315
733,228,316
733,499,329
733,613,331
738,878,390
738,599,394
741,7,277
741,269,391
741,712,420
743,378,405
743,752,433
743,239,476
746,135,418
754,985,425
754,707,454
756,69,469
758,979,608
760,637,394
760,334,444
762,338,395
766,753,383
767,384,488
770,921,337
770,623,365
770,328,380
770,771,416
772,475,335
773,64,425
774,75,412
776,356,502
777,153,244
777,433,247
777,396,322
780,954,355
781,680,359
782,699,431
787,756,392
787,56,473
790,74,390
790,285,390
790,860,414
794,469,506
805,438,347
805,306,419
808,39,398
808,922,416
808,572,418
814,853,373
814,748,411
815,946,391
822,819,410
824,289,495
825,978,362
825,32,380
827,565,395
830,868,343
830,17,360
830,407,362
830,545,380
830,196,404
832,776,340
832,437,345
832,957,366
832,12,465
833,322,436
834,825,280
834,528,376
839,951,520
841,546,409
841,265,427
841,493,430
843,101,360
844,371,440
846,292,416
846,639,433
849,205,441
852,715,397
854,789,466
854,162,489
862,780,277
862,693,280
862,655,304
862,71,308
865,389,519
867,678,286
867,790,342
867,689,348
867,424,373
867,682,421
868,904,391
870,754,373
873,394,356
873,272,360
873,206,447
876,568,209
876,189,252
876,974,259
876,443,269
876,832,273
876,603,302
876,48,331
876,925,341
877,618,226
877,766,269
877,726,289
877,398,346
877,187,381
881,959,267
881,392,284
881,361,297
881,49,319
881,377,343
881,656,345
881,722,365
882,661,334
882,460,359
882,254,360
882,836,386
882,67,387
882,628,399
888,859,418
888,314,441
890,549,418
890,500,421
891,5,258
891,70,287
891,695,334
893,926,288
893,967,352
894,573,309
894,41,332
894,287,335
894,58,393
894,633,448
899,736,357
899,596,359
899,719,438
900,10,477
903,95,361
903,844,367
906,873,283
906,641,292
906,429,420
907,824,307
907,896,351
907,246,404
908,375,378
908,213,399
908,227,411
918,614,398
920,145,107
920,501,148
920,877,178
920,697,179
920,66,192
920,834,196
920,148,220
920,466,221
921,8,410
926,312,386
928,321,403
929,879,392
931,47,363
931,14,372
935,244,303
935,16,351
937,169,414
937,857,438
940,935,221
940,103,227
940,220,240
940,124,247
940,25,264
940,259,305
940,86,309
940,372,312
940,498,314
940,739,323
941,65,424
947,350,275
947,659,286
947,42,317
947,426,318
947,570,329
952,276,200
952,562,201
952,422,317
953,267,398
955,830,283
955,262,286
955,519,336
955,760,337
955,82,351
955,331,391
957,423,491
958,337,436
959,619,369
959,648,394
959,887,405
959,871,408
961,821,389
961,97,410
971,805,266
971,44,286
971,43,316
971,874,349
971,522,376
971,524,391
974,774,334
977,134,275
977,823,474
980,13,397
981,464,386
983,386,356
992,54,387
993,325,308
994,358,335
994,652,353
994,802,392
