Biter,start150,
0,280,426
2,361,279
2,460,364
2,676,367
2,171,377
2,16,379
2,842,390
2,359,401
2,493,449
3,710,469
5,316,203
5,613,218
5,682,222
5,896,232
5,494,243
5,877,257
5,379,265
5,616,267
5,597,281
6,28,428
7,604,199
7,510,243
7,735,318
7,784,332
8,668,394
8,400,515
11,56,357
11,349,366
11,700,481
11,438,485
15,634,437
23,435,432
23,753,444
23,558,463
25,376,449
27,226,448
30,138,411
31,738,422
31,876,426
33,478,388
33,446,422
37,898,485
40,153,384
40,73,395
40,224,401
40,225,414
45,272,316
46,552,475
47,582,513
50,260,347
50,360,387
51,133,418
51,324,445
52,952,382
55,365,413
55,373,419
55,1,425
55,414,426
55,836,430
56,641,411
56,382,454
58,289,315
58,856,318
58,977,335
58,64,364
58,559,385
58,769,392
59,141,455
59,815,469
63,873,572
64,746,449
65,683,368
65,106,369
65,481,417
65,680,441
66,386,401
68,766,344
68,899,354
70,522,451
71,775,396
71,745,458
71,835,458
75,580,486
76,137,367
76,814,388
77,335,389
78,694,378
78,704,405
78,343,416
79,241,357
79,213,403
84,53,440
85,255,414
86,505,506
90,693,436
91,872,368
92,712,430
93,667,453
94,549,625
98,861,498
99,848,512
103,797,182
103,519,213
103,532,236
103,691,236
103,140,238
103,626,268
103,982,277
103,79,284
103,927,305
115,485,373
115,417,390
115,416,405
115,326,420
121,568,501
122,345,452
122,726,455
122,35,465
125,854,403
125,988,533
126,161,558
128,696,456
129,748,501
139,436,422
140,71,347
140,941,368
140,635,389
140,886,413
140,178,432
142,903,218
142,8,334
142,86,334
142,658,335
142,863,338
142,49,359
142,59,380
142,575,398
142,392,442
143,621,569
144,327,476
149,554,433
150,884,21
150,528,41
150,713,42
150,630,95
150,103,98
150,781,134
150,497,136
151,318,362
151,732,413
151,341,466
151,200,482
152,278,404
152,409,432
157,840,408
158,208,252
158,792,384
159,264,480
159,429,498
164,852,428
164,995,434
167,458,413
167,934,457
167,238,478
173,511,460
176,823,451
179,237,335
179,123,360
181,938,544
183,442,489
185,305,398
186,4,452
191,356,445
192,408,528
194,451,469
196,681,590
197,471,488
201,181,465
201,350,487
201,187,543
202,727,317
202,271,336
202,27,362
202,12,390
202,194,391
202,437,426
203,309,369
203,560,387
203,850,432
203,868,444
203,97,488
208,937,327
208,307,343
208,230,389
209,717,170
209,545,173
209,956,229
209,413,235
209,277,267
209,303,270
209,249,272
209,297,285
210,456,414
210,321,425
211,174,451
213,542,482
220,629,428
221,944,669
223,698,335
223,357,341
223,875,355
226,979,589
228,207,484
232,905,508
233,257,384
233,617,409
233,127,472
234,924,421
234,221,454
235,659,222
235,728,224
235,256,264
235,504,292
235,688,303
235,538,328
235,440,354
235,282,355
235,467,360
237,844,405
238,906,659
240,445,277
240,40,325
240,375,333
240,144,380
241,998,521
241,503,540
243,421,507
244,450,284
244,729,286
244,167,337
244,546,402
244,286,412
246,734,477
248,145,490
249,670,345
249,31,348
249,214,348
252,809,345
252,610,389
252,322,410
252,946,425
252,578,438
252,687,454
253,184,420
256,91,266
256,907,327
