Biter,start150,gen
1,697,350
3,482,273
3,915,304
3,437,313
10,351,223
10,35,288
10,207,415
15,143,442
16,940,504
17,594,438
18,689,439
18,177,568
18,470,595
19,865,465
22,300,359
22,860,441
24,669,605
30,731,425
31,70,330
32,413,245
32,903,321
32,577,368
35,123,458
37,239,315
37,676,317
38,181,314
38,578,380
42,526,282
42,229,292
42,250,333
42,158,380
42,47,394
44,473,410
44,421,441
45,665,467
45,175,532
47,369,469
48,563,600
50,692,206
50,179,240
50,66,252
50,238,330
50,732,372
53,251,292
53,11,340
56,930,548
57,126,364
60,308,354
60,631,355
62,892,251
62,144,258
62,797,259
62,393,288
62,492,316
62,735,362
63,152,460
63,365,469
63,829,472
63,941,524
64,843,391
66,728,330
66,725,354
68,408,550
72,917,437
73,581,229
73,642,230
73,957,232
73,847,276
74,627,300
77,225,393
78,784,463
78,557,603
79,761,343
81,706,495
83,787,323
83,905,339
83,240,483
89,118,312
89,18,386
92,387,256
92,198,264
92,630,266
92,953,311
100,461,385
102,288,432
103,561,307
107,498,540
110,571,429
112,359,209
112,778,253
112,381,257
112,83,260
116,736,79
116,876,117
116,946,125
116,745,129
116,460,133
116,702,136
116,866,202
116,872,202
116,89,226
116,374,229
116,315,241
120,111,417
121,342,427
122,289,368
122,224,385
124,57,291
124,880,320
124,835,321
127,514,445
129,328,510
129,131,524
130,916,467
133,680,291
133,719,294
133,157,322
133,555,396
134,8,594
135,724,271
135,901,278
135,443,292
135,347,319
135,634,337
135,529,381
139,597,476
141,729,337
141,831,387
141,101,416
141,442,417
141,51,419
142,885,428
142,574,482
142,859,485
142,620,488
144,305,339
144,705,354
144,78,390
145,93,331
145,762,346
145,478,350
147,416,238
147,296,281
147,893,281
148,160,346
148,746,347
148,979,422
148,193,469
149,764,286
150,116,25
150,162,29
150,819,57
150,343,60
150,227,77
150,214,78
150,513,95
150,758,98
150,882,125
156,596,323
156,541,327
156,884,330
156,699,340
156,445,374
161,164,442
162,3,129
162,703,191
162,612,215
162,483,217
162,405,223
173,523,303
173,803,303
179,798,309
179,258,369
183,991,398
184,505,260
184,560,323
184,167,334
184,204,350
184,998,460
185,664,575
189,210,296
189,640,342
189,832,362
193,449,530
195,694,487
196,476,494
197,52,456
198,889,340
198,199,439
203,108,408
203,450,410
203,807,496
204,532,430
209,822,365
209,586,416
209,666,417
209,312,455
211,295,529
214,570,143
214,638,153
214,73,157
214,62,164
214,91,197
214,993,248
214,623,263
214,229,292
217,540,506
218,121,351
219,575,501
220,430,330
220,335,335
220,566,409
220,682,440
221,26,503
223,23,453
227,977,136
227,371,183
227,795,204
227,31,235
227,451,237
227,156,251
227,391,289
227,609,289
229,850,387
231,595,249
231,439,250
231,651,276
231,679,278
231,700,286
231,599,315
231,639,341
231,646,379
235,836,448
238,12,389
242,686,342
242,228,414
244,722,462
246,709,260
246,765,269
246,704,272
246,302,289
246,75,302
246,441,323
246,742,344
247,956,269
247,226,311
248,572,312
248,584,369
250,881,417
251,780,356
251,650,379
252,21,455
252,493,517
253,839,363
254,220,260
254,221,283
254,520,295
254,785,383
257,863,355
257,115,400
266,87,422
267,534,389
269,775,359
269,5,378
270,146,413
270,207,415
271,194,444
273,146,413
280,564,383
280,281,385
280,81,402
286,815,402
287,475,363
289,357,445
293,316,468
296,356,340
297,947,372
301,294,412
304,750,412
304,926,480
305,36,469
305,378,474
308,200,498
308,546,501
310,820,348
310,163,480
313,140,457
315,539,301
315,752,305
315,887,379
320,388,510
324,628,433
324,986,495
325,176,306
325,929,314
325,871,329
327,687,263
327,590,284
327,771,285
331,503,328
331,195,340
331,28,362
335,409,418
338,782,616
339,290,335
341,0,531
343,585,60
343,875,60
343,112,132
343,944,134
343,663,138
343,254,174
343,748,179
343,877,214
343,37,239
343,615,266
344,556,320
344,394,345
344,29,347
346,987,294
346,33,301
346,547,311
346,914,312
346,569,323
346,653,345
347,94,397
351,535,278
351,435,381
351,432,391
353,129,336
355,215,389
355,636,415
356,233,527
359,22,281
359,60,281
359,816,307
362,691,478
364,382,475
368,107,362
368,554,380
371,355,265
371,806,270
371,670,295
371,907,298
371,455,314
371,501,321
371,733,328
371,852,347
371,453,392
373,447,209
373,685,264
373,678,265
373,760,287
373,285,330
374,368,285
374,322,313
374,77,335
374,747,372
374,530,398
375,189,198
375,231,198
375,10,220
375,633,226
375,837,320
375,380,323
377,528,564
379,701,352
381,506,312
381,497,338
381,737,413
385,942,436
386,613,221
387,9,333
389,906,334
389,203,335
393,406,399
395,886,330
395,71,331
405,270,317
405,548,319
405,794,343
407,810,368
407,751,490
407,861,497
410,883,351
412,500,589
413,15,320
416,372,305
416,558,314
416,657,321
416,217,393
420,234,374
420,589,374
420,487,413
420,400,514
426,519,353
428,517,299
428,773,318
428,244,342
430,202,389
430,873,410
433,169,420
434,802,295
434,978,313
434,440,370
434,190,374
436,605,327
436,739,445
439,307,322
439,362,324
441,24,458
443,6,380
443,525,395
443,768,410
444,341,445
446,721,345
446,283,366
447,72,303
451,800,400
452,619,325
452,469,346
452,418,422
452,211,438
454,135,193
454,538,272
454,61,295
454,716,316
454,708,322
454,624,341
454,683,355
455,870,394
457,759,444
460,326,243
460,155,290
460,361,309
463,46,451
463,910,478
471,894,234
471,114,244
471,971,253
471,696,294
471,898,329
475,690,456
475,404,495
478,662,495
480,104,335
482,59,274
483,280,274
483,878,289
483,209,292
483,936,294
483,273,296
483,407,301
485,757,307
485,110,330
485,509,342
485,13,349
485,846,392
490,766,443
490,349,449
492,841,401
496,30,296
496,753,339
496,424,377
496,972,436
497,337,529
497,531,564
501,647,393
501,151,471
502,458,384
505,96,339
506,205,387
507,279,570
507,518,636
508,213,312
508,187,374
512,7,350
512,781,479
513,862,99
513,544,169
517,425,353
521,693,247
521,505,260
521,844,393
526,856,356
534,367,468
535,63,332
535,949,423
538,139,360
538,851,372
538,744,425
539,897,517
544,85,321
550,317,384
551,804,367
551,385,376
551,90,397
553,168,448
558,777,387
559,44,279
559,414,338
559,527,341
559,363,385
559,827,396
559,188,423
559,845,423
560,293,393
560,710,401
562,667,522
568,263,459
570,625,209
570,124,216
570,386,217
570,904,246
570,763,278
570,502,309
581,562,316
581,879,334
581,830,355
583,895,442
585,327,162
585,247,195
585,681,209
585,583,286
587,756,458
587,58,460
592,754,376
593,360,492
595,568,309
595,808,339
595,924,355
596,2,421
596,170,453
596,212,480
596,154,515
598,805,459
598,370,494
599,658,437
600,695,305
600,433,321
600,828,380
600,545,413
609,626,381
610,549,324
612,976,303
612,297,316
613,292,349
613,16,409
614,848,371
615,266,341
618,677,392
622,119,260
622,340,444
622,397,472
625,97,295
625,99,304
625,772,395
629,567,400
631,934,522
634,274,441
638,248,202
638,618,250
638,996,277
641,320,454
641,466,564
642,275,303
642,324,342
642,495,360
642,580,367
642,40,420
645,384,412
650,137,529
654,740,280
654,813,314
654,955,321
654,786,381
655,314,447
656,45,340
657,109,394
660,582,343
660,468,358
660,113,376
663,145,272
663,655,312
673,32,244
673,183,264
677,438,484
678,49,362
678,411,437
679,398,385
681,219,285
681,550,286
681,494,345
682,318,600
683,925,535
685,417,344
685,47,394
685,738,456
687,814,335
687,602,366
687,853,434
692,39,266
692,801,288
692,55,305
692,818,320
692,132,416
693,900,309
693,65,326
693,661,333
693,888,388
695,652,377
696,890,355
696,106,384
696,185,446
697,515,479
698,826,384
698,277,526
702,431,217
702,559,218
702,485,227
702,38,254
702,79,266
702,749,333
703,951,257
703,592,281
703,943,292
703,122,295
703,54,312
703,19,384
704,174,432
707,790,347
707,779,374
708,448,455
709,769,337
709,712,338
710,191,537
711,379,253
711,508,257
711,622,257
711,313,264
711,253,290
711,463,315
717,668,351
717,354,421
718,117,411
718,311,465
719,298,347
719,237,405
719,507,420
721,994,423
723,496,247
723,604,282
723,791,286
723,918,328
723,197,334
723,301,336
726,331,261
726,153,294
726,869,338
727,338,432
728,552,483
733,303,491
734,76,368
734,479,405
734,350,465
736,711,140
736,50,153
736,147,158
736,743,158
736,952,162
736,821,186
736,962,231
740,95,390
743,103,214
743,858,224
743,269,252
743,426,270
743,352,281
743,899,310
744,48,498
745,257,242
745,230,244
745,480,244
745,968,250
745,603,298
745,127,299
745,383,310
747,68,454
748,928,241
748,824,253
748,948,334
748,82,347
748,867,367
749,969,406
750,632,501
752,222,457
752,825,460
754,741,449
755,84,418
755,465,446
758,471,171
758,723,174
758,817,174
758,809,180
758,53,186
758,945,191
758,796,210
758,717,221
758,120,263
758,286,324
758,989,325
759,720,523
760,180,368
760,69,381
762,713,422
763,960,353
764,617,371
765,874,470
765,671,485
766,459,517
767,854,435
767,366,513
769,911,387
769,423,413
769,105,440
770,931,437
772,488,494
774,842,416
775,201,468
776,902,253
776,537,254
776,287,289
781,789,641
783,464,399
784,542,683
787,607,502
791,714,350
792,276,449
792,377,483
793,524,456
794,504,427
794,399,494
795,242,282
795,995,302
795,457,316
795,102,352
795,516,385
796,353,260
796,656,291
796,849,394
797,20,375
798,192,403
799,267,306
799,271,351
802,792,376
803,252,376
806,243,379
808,165,482
808,938,485
809,799,256
809,86,275
809,444,323
809,933,327
810,25,450
812,367,468
813,43,401
814,364,400
814,868,444
816,171,452
817,776,179
817,452,248
817,730,368
818,56,419
819,673,164
819,92,169
819,726,179
819,707,225
819,173,230
821,436,240
821,389,262
821,1,273
821,88,289
824,490,375
825,913,558
825,427,590
832,648,480
832,282,509
834,982,319
834,178,344
834,223,361
838,793,339
838,840,420
852,511,538
855,310,291
855,196,309
855,674,314
855,927,363
855,27,376
855,486,427
857,489,526
858,17,322
858,959,380
862,246,176
862,434,194
862,838,204
862,855,236
862,645,290
863,241,471
866,593,277
866,148,279
866,420,297
866,727,306
869,216,464
871,467,419
872,767,298
872,588,376
875,373,134
875,375,147
875,512,272
876,454,192
876,521,199
876,325,233
876,834,234
876,184,257
876,660,259
876,770,286
876,401,297
876,939,301
876,964,303
876,614,311
876,629,322
877,304,310
877,553,381
882,74,222
882,600,222
882,428,223
882,551,227
882,395,252
882,218,276
882,339,282
882,734,286
882,963,287
882,896,290
886,402,445
887,958,554
890,206,429
891,533,387
891,256,399
892,587,369
894,284,299
894,392,365
894,823,399
896,208,383
898,990,415
901,329,327
901,159,348
901,833,361
902,235,326
904,125,247
906,136,486
914,616,485
915,576,415
918,515,479
928,755,324
928,412,442
929,80,431
939,641,375
943,4,495
944,42,209
944,984,234
944,344,259
944,477,292
944,499,300
945,610,254
945,446,277
945,598,290
945,130,301
945,14,306
945,358,334
945,309,339
945,161,348
945,715,364
946,133,198
946,346,218
946,654,230
946,410,276
946,98,284
946,812,287
952,141,235
952,783,304
952,891,311
952,100,313
952,718,362
953,67,481
962,611,308
962,579,320
962,774,334
962,857,433
963,29,347
964,684,393
968,41,314
968,260,398
971,698,321
971,864,370
976,788,494
977,811,211
977,128,279
977,149,285
977,64,315
984,34,372
993,608,333
993,142,353
993,637,439
995,134,389
