Biter,Victim,gen
1,93,451
2,9,347
3,2,229
5,20,275
5,8,279
8,6,467
8,16,482
9,18,477
10,31,53
10,64,66
10,17,130
10,41,172
11,23,1
11,92,67
12,4,58
13,45,24
13,44,25
13,15,59
13,33,67
13,5,106
14,94,16
18,19,612
20,29,447
20,24,469
21,1,323
21,91,462
22,0,779
29,22,615
31,26,181
31,21,249
34,30,586
44,25,305
45,3,120
45,51,198
46,7,480
46,28,549
50,78,371
50,82,373
50,69,396
50,34,450
53,95,595
54,98,468
54,27,472
55,56,525
56,37,684
56,38,815
59,47,488
64,76,171
64,86,217
64,74,247
64,77,255
64,70,259
64,66,277
64,46,277
64,72,281
64,99,349
65,97,587
66,75,378
66,79,391
67,36,638
68,40,490
70,55,376
70,71,385
71,58,524
72,59,389
74,73,323
74,83,346
74,65,395
74,85,426
76,63,279
76,87,303
76,62,335
76,68,366
76,54,370
76,88,382
76,84,401
76,57,452
77,32,378
77,53,441
77,81,457
79,52,632
80,61,556
82,49,374
85,43,610
86,60,315
86,48,368
87,39,420
87,80,426
87,89,446
87,67,466
89,96,610
92,50,188
