Biter,Victim,Gens,,,Biter
0,610,85,,,0
0,914,90,,,1
0,317,95,,,4
0,449,110,,,5
0,300,133,,,7
1,437,433,,,8
1,706,529,,,13
4,266,508,,,14
5,794,464,,,22
7,18,441,,,23
8,161,810,,,30
13,435,371,,,31
13,527,411,,,34
13,539,418,,,35
14,562,516,,,36
22,373,509,,,37
22,680,592,,,39
23,126,322,,,48
23,830,333,,,50
23,763,356,,,51
23,587,357,,,54
23,394,403,,,55
30,85,530,,,56
31,858,447,,,60
34,258,532,,,61
35,929,514,,,63
36,981,531,,,64
37,410,477,,,65
39,641,433,,,72
39,144,464,,,74
48,231,539,,,75
50,118,508,,,81
51,620,551,,,87
54,512,732,,,89
55,370,208,,,93
55,424,277,,,94
55,469,291,,,96
55,933,316,,,97
55,104,319,,,98
55,269,322,,,104
55,935,349,,,110
55,916,361,,,111
55,698,370,,,112
56,829,448,,,113
56,927,492,,,116
60,505,510,,,117
60,877,527,,,120
61,159,609,,,121
63,803,448,,,124
64,114,410,,,126
64,48,411,,,127
64,586,411,,,128
65,721,561,,,134
72,740,416,,,141
72,443,428,,,144
72,766,429,,,147
74,479,443,,,150
74,665,461,,,151
75,506,429,,,156
75,703,519,,,158
75,304,531,,,160
81,157,508,,,162
87,859,383,,,164
87,311,389,,,165
87,277,392,,,166
87,560,407,,,167
87,626,430,,,168
89,735,480,,,170
89,83,553,,,173
93,232,354,,,176
93,811,358,,,177
93,63,366,,,178
93,200,402,,,179
93,569,437,,,181
94,483,329,,,182
94,989,409,,,183
94,81,427,,,185
96,203,439,,,187
96,436,473,,,189
97,513,617,,,198
98,459,531,,,207
104,37,397,,,209
104,835,419,,,210
104,662,461,,,211
110,663,459,,,214
110,136,485,,,215
110,552,502,,,217
110,255,519,,,218
110,846,524,,,222
110,76,528,,,226
111,113,345,,,230
111,875,363,,,232
111,633,364,,,234
111,211,372,,,237
111,265,387,,,243
111,440,399,,,244
112,292,538,,,248
113,906,456,,,249
116,434,397,,,253
117,350,475,,,254
120,496,176,,,257
120,185,278,,,259
120,285,298,,,260
120,270,315,,,262
120,543,322,,,263
120,844,375,,,269
121,390,454,,,270
124,154,474,,,271
124,827,474,,,277
126,616,404,,,279
126,291,408,,,284
126,618,410,,,285
126,209,426,,,287
126,408,426,,,293
126,783,455,,,295
126,878,473,,,298
127,941,422,,,300
128,711,586,,,301
134,631,466,,,302
134,738,486,,,305
134,602,533,,,306
141,337,500,,,308
141,805,578,,,311
144,195,512,,,314
147,251,518,,,315
150,603,562,,,317
151,997,345,,,318
151,321,365,,,319
151,798,368,,,320
151,165,370,,,321
151,755,370,,,324
151,421,371,,,327
151,175,420,,,329
151,201,471,,,330
156,645,456,,,332
156,797,457,,,340
156,108,468,,,344
158,168,335,,,348
158,332,339,,,352
158,361,339,,,354
158,980,359,,,355
158,621,361,,,357
158,853,423,,,361
158,845,459,,,363
158,891,463,,,364
160,761,388,,,369
160,489,419,,,370
160,887,434,,,371
162,20,539,,,372
162,545,568,,,374
162,907,568,,,376
164,949,525,,,378
165,401,444,,,382
165,19,456,,,385
165,466,520,,,386
166,679,459,,,387
166,623,486,,,388
166,58,500,,,389
166,808,508,,,390
166,149,531,,,391
167,432,463,,,395
167,100,554,,,397
168,84,416,,,399
170,425,466,,,401
173,976,541,,,402
176,815,571,,,404
177,756,528,,,406
178,35,465,,,407
178,510,466,,,409
179,601,514,,,411
181,398,493,,,413
181,323,513,,,417
181,617,550,,,418
182,979,445,,,421
182,637,467,,,424
182,753,492,,,427
182,630,496,,,433
183,419,521,,,437
183,802,545,,,438
185,509,341,,,443
185,340,359,,,444
185,799,375,,,447
185,728,386,,,449
185,574,425,,,450
187,519,442,,,453
187,724,454,,,455
187,341,513,,,456
189,235,469,,,457
198,146,457,,,467
198,43,478,,,469
198,629,497,,,471
198,229,522,,,472
198,758,539,,,473
207,529,570,,,476
209,197,534,,,478
210,690,478,,,484
210,813,507,,,487
211,90,487,,,488
211,561,510,,,489
211,971,510,,,494
211,481,538,,,496
214,687,450,,,498
214,767,477,,,499
214,474,523,,,501
214,958,591,,,506
215,180,613,,,507
217,68,501,,,508
217,857,537,,,509
218,455,387,,,514
218,880,398,,,515
218,715,415,,,518
222,206,427,,,523
222,279,469,,,527
226,947,533,,,528
230,789,499,,,530
232,576,430,,,531
232,673,447,,,533
232,183,448,,,538
232,924,458,,,539
232,594,474,,,540
234,499,365,,,542
234,176,424,,,543
234,245,425,,,546
234,745,434,,,548
234,943,505,,,550
237,94,245,,,553
237,243,273,,,554
237,190,292,,,558
237,635,320,,,560
237,494,321,,,566
237,742,330,,,570
237,156,379,,,575
237,39,380,,,576
237,749,386,,,577
243,636,396,,,580
243,691,431,,,584
243,389,434,,,586
243,359,506,,,587
244,699,445,,,590
244,137,493,,,592
248,451,437,,,595
249,714,420,,,596
249,420,444,,,597
249,463,449,,,600
253,970,419,,,604
253,29,440,,,605
253,696,555,,,606
254,984,509,,,608
257,388,308,,,609
257,1,342,,,610
257,263,343,,,611
257,739,380,,,614
257,371,395,,,615
259,674,389,,,621
259,523,405,,,624
259,969,425,,,625
259,382,478,,,626
260,487,204,,,633
260,380,264,,,634
260,700,274,,,635
260,13,284,,,636
260,319,290,,,639
260,869,292,,,643
260,646,310,,,644
260,187,374,,,646
260,557,404,,,647
262,50,431,,,648
262,638,451,,,649
262,675,462,,,650
262,192,497,,,651
262,786,534,,,653
263,522,447,,,654
269,928,380,,,655
270,736,412,,,661
270,493,456,,,662
270,960,459,,,665
271,741,255,,,666
271,643,281,,,669
271,864,303,,,672
271,308,360,,,674
271,729,375,,,675
271,26,392,,,681
277,315,504,,,682
279,95,519,,,683
284,109,593,,,686
285,707,376,,,688
285,89,403,,,689
285,577,415,,,691
285,787,432,,,694
287,153,627,,,695
293,240,531,,,698
295,854,317,,,700
295,533,346,,,701
295,354,361,,,707
295,51,404,,,710
295,571,440,,,712
298,99,390,,,714
298,664,403,,,716
298,917,415,,,723
298,497,476,,,727
298,823,496,,,729
298,722,511,,,731
300,975,214,,,736
300,998,237,,,739
300,961,281,,,741
300,896,300,,,742
301,999,504,,,745
302,604,354,,,746
302,996,359,,,749
302,324,376,,,752
302,591,419,,,755
302,902,495,,,759
305,36,444,,,760
305,276,476,,,763
305,708,485,,,765
305,132,486,,,766
306,491,628,,,771
308,454,428,,,773
308,886,429,,,775
308,973,429,,,777
308,697,513,,,780
311,42,487,,,782
311,129,501,,,783
311,881,513,,,787
314,549,579,,,788
315,946,647,,,792
317,397,211,,,793
317,531,264,,,796
317,688,274,,,798
317,471,288,,,800
318,660,466,,,807
319,608,362,,,810
319,456,364,,,811
319,314,485,,,812
320,164,385,,,819
320,538,425,,,822
320,901,431,,,824
320,14,441,,,825
320,150,470,,,826
321,564,488,,,829
324,65,425,,,830
324,349,439,,,836
324,97,448,,,837
324,453,469,,,840
327,588,433,,,842
329,801,476,,,843
329,208,478,,,844
330,98,453,,,847
332,701,393,,,849
332,52,479,,,850
332,282,485,,,853
332,476,512,,,854
332,242,517,,,856
332,379,520,,,859
340,918,436,,,864
340,825,444,,,866
340,177,453,,,869
340,537,475,,,870
340,704,489,,,871
344,472,405,,,873
344,926,427,,,875
344,965,442,,,880
348,121,374,,,882
352,666,336,,,884
352,936,338,,,885
352,422,450,,,888
354,959,435,,,890
355,532,475,,,892
355,336,487,,,893
357,488,237,,,896
357,548,260,,,901
357,884,316,,,903
357,615,345,,,906
357,694,368,,,908
361,712,430,,,909
361,563,501,,,910
363,495,427,,,911
363,181,429,,,914
363,822,445,,,915
363,824,456,,,916
363,174,512,,,917
364,579,433,,,918
369,399,395,,,923
369,743,400,,,928
369,732,464,,,933
370,386,280,,,934
370,484,292,,,935
370,964,293,,,937
370,649,302,,,938
370,498,350,,,940
370,514,352,,,941
370,923,355,,,942
370,404,372,,,943
370,189,403,,,948
371,444,468,,,952
371,392,469,,,953
371,403,473,,,956
371,534,484,,,957
371,446,570,,,961
372,316,590,,,964
374,375,495,,,970
374,791,495,,,971
376,286,509,,,973
378,82,496,,,974
378,290,505,,,975
382,582,541,,,978
385,656,492,,,980
385,504,493,,,989
385,734,504,,,990
386,363,353,,,992
386,934,363,,,993
386,782,403,,,994
387,781,519,,,996
388,417,386,,,997
388,210,388,,,998
388,720,432,,,
389,28,510,,,
389,670,531,,,
390,925,534,,,
391,241,375,,,
391,528,462,,,
391,30,481,,,
395,274,564,,,
397,151,290,,,
397,72,307,,,
397,695,333,,,
397,624,338,,,
397,508,351,,,
399,628,485,,,
401,640,557,,,
402,351,615,,,
404,346,444,,,
404,492,444,,,
406,486,503,,,
407,652,448,,,
409,179,391,,,
409,414,408,,,
411,895,547,,,
411,762,566,,,
413,296,554,,,
413,517,561,,,
417,806,470,,,
418,889,564,,,
421,131,444,,,
421,429,452,,,
424,992,333,,,
424,327,354,,,
424,134,368,,,
424,80,435,,,
424,796,441,,,
424,267,445,,,
424,427,448,,,
424,69,450,,,
424,832,481,,,
427,53,520,,,
433,5,372,,,
433,254,431,,,
433,416,496,,,
437,583,483,,,
437,776,499,,,
437,396,545,,,
438,644,339,,,
438,73,349,,,
438,57,365,,,
438,669,365,,,
438,686,398,,,
438,135,409,,,
438,772,429,,,
438,892,455,,,
438,556,496,,,
443,855,532,,,
444,925,534,,,
447,639,433,,,
447,932,577,,,
449,530,184,,,
449,793,185,,,
449,654,203,,,
449,775,217,,,
449,909,279,,,
449,234,288,,,
450,268,573,,,
453,719,541,,,
455,820,568,,,
455,343,570,,,
455,445,580,,,
456,247,460,,,
456,983,479,,,
457,744,531,,,
467,944,516,,,
469,849,372,,,
469,819,402,,,
471,465,375,,,
471,723,388,,,
471,515,391,,,
471,41,406,,,
472,233,478,,,
472,275,481,,,
473,770,539,,,
473,54,547,,,
476,986,587,,,
478,196,420,,,
484,800,364,,,
484,31,395,,,
484,221,398,,,
484,837,423,,,
487,575,256,,,
487,302,279,,,
487,596,302,,,
487,64,313,,,
487,116,345,,,
487,262,347,,,
487,400,350,,,
487,447,369,,,
487,25,376,,,
488,348,309,,,
488,826,309,,,
488,689,336,,,
488,991,382,,,
489,897,515,,,
489,867,523,,,
489,904,526,,,
489,252,551,,,
494,839,426,,,
496,271,177,,,
496,257,256,,,
496,295,263,,,
496,438,285,,,
496,580,300,,,
496,843,337,,,
496,364,380,,,
496,124,395,,,
498,212,489,,,
498,818,505,,,
499,228,451,,,
499,367,484,,,
499,405,490,,,
499,526,549,,,
501,298,339,,,
501,717,379,,,
501,661,437,,,
501,642,439,,,
506,186,509,,,
507,567,556,,,
508,585,441,,,
508,771,478,,,
509,780,417,,,
509,225,491,,,
509,458,534,,,
514,836,407,,,
514,733,423,,,
515,338,471,,,
515,289,521,,,
518,888,377,,,
518,355,390,,,
518,9,454,,,
523,876,504,,,
527,668,531,,,
528,804,510,,,
530,23,256,,,
530,127,277,,,
530,457,378,,,
531,565,357,,,
531,117,384,,,
531,572,410,,,
531,66,475,,,
533,119,463,,,
533,372,517,,,
538,273,477,,,
539,982,475,,,
540,101,420,,,
542,147,464,,,
542,966,501,,,
542,856,507,,,
543,573,398,,,
543,945,488,,,
543,730,489,,,
543,607,501,,,
543,381,505,,,
546,368,528,,,
548,667,394,,,
548,374,440,,,
548,894,449,,,
548,751,467,,,
548,45,487,,,
550,142,649,,,
553,16,632,,,
554,264,499,,,
554,92,517,,,
558,544,498,,,
558,33,511,,,
560,620,551,,,
566,224,548,,,
566,547,593,,,
570,595,468,,,
575,716,322,,,
575,840,330,,,
575,870,416,,,
575,558,421,,,
575,61,440,,,
575,11,477,,,
576,78,571,,,
577,213,477,,,
580,942,387,,,
580,957,424,,,
580,851,442,,,
580,752,446,,,
580,987,452,,,
580,358,479,,,
580,520,490,,,
584,301,393,,,
584,202,458,,,
586,705,484,,,
586,284,489,,,
587,962,459,,,
590,287,414,,,
590,655,457,,,
592,249,371,,,
592,915,374,,,
592,570,378,,,
592,415,426,,,
592,411,466,,,
595,299,557,,,
596,222,375,,,
596,769,434,,,
596,24,452,,,
597,71,333,,,
597,253,336,,,
597,139,368,,,
597,166,380,,,
597,280,448,,,
597,383,451,,,
597,148,458,,,
600,182,363,,,
600,244,366,,,
600,648,391,,,
600,88,438,,,
604,140,498,,,
605,199,503,,,
606,951,469,,,
606,123,506,,,
606,848,533,,,
608,130,469,,,
608,125,486,,,
609,807,495,,,
609,774,524,,,
610,55,149,,,
610,651,168,,,
610,237,170,,,
610,120,174,,,
610,681,174,,,
610,260,201,,,
610,501,204,,,
610,158,260,,,
610,672,279,,,
610,433,289,,,
611,792,453,,,
