Biter,victim,gen,
0,13,116,Univ0
1,45,20,Univ0
1,52,170,Univ0
2,201,1718,Univ1
4,59,744,Univ0
4,53,800,Univ0
6,702,427,Univ1
8,155,351,Univ1
8,409,446,Univ1
13,89,178,Univ0
22,35,9,Univ0
40,29,1106,Univ0
44,6,313,Univ0
52,44,249,Univ0
52,85,404,Univ0
52,84,417,Univ0
53,66,904,Univ0
59,103,914,Univ0
66,28,1072,Univ0
70,93,577,Univ0
70,61,596,Univ0
84,4,599,Univ0
85,46,615,Univ0
89,8,251,Univ0
89,70,378,Univ0
93,81,737,Univ0
101,507,1794,Univ1
101,144,1914,Univ1
101,12,1971,Univ0
103,40,964,Univ0
103,189,1079,Univ1
104,135,2482,Univ1
107,169,1968,Univ1
107,68,2020,Univ0
109,105,1640,Univ0
109,401,1645,Univ1
109,133,1715,Univ1
111,606,996,Univ1
118,3,2653,Univ1
122,182,2130,Univ1
123,131,2276,Univ1
125,174,1163,Univ1
143,400,1502,Univ1
143,142,1509,Univ1
147,195,1954,Univ1
148,160,1455,Univ1
149,172,1423,Univ1
149,143,1429,Univ1
152,104,2290,Univ1
155,170,428,Univ1
156,164,1611,Univ1
160,119,1508,Univ1
160,156,1557,Univ1
160,2,1597,Univ1
161,709,1188,Univ1
164,197,1758,Univ1
165,118,2573,Univ1
167,165,2520,Univ1
172,120,1551,Univ1
174,608,1260,Univ1
174,809,1311,Univ1
174,180,1319,Univ1
180,153,1416,Univ1
180,704,1453,Univ1
180,108,1560,Univ1
181,196,1841,Univ1
183,205,1500,Univ1
189,802,1145,Univ1
189,192,1221,Univ1
190,109,1549,Univ1
190,801,1574,Univ1
191,186,1947,Univ1
192,149,1347,Univ1
195,506,2106,Univ1
195,123,2203,Univ1
201,221,1924,Univ2
201,122,1957,Univ1
201,203,1964,Univ2
202,245,968,Univ2
202,125,973,Univ1
202,236,1011,Univ2
202,161,1022,Univ1
203,163,2080,Univ1
203,152,2126,Univ1
204,241,772,Univ2
204,111,834,Univ1
204,202,894,Univ2
208,267,1412,Univ2
208,305,1500,Univ1
209,233,1089,Univ2
221,227,1977,Univ2
221,297,2006,Univ2
224,200,1258,Univ2
225,275,1275,Univ2
227,214,2125,Univ2
227,265,2175,Univ2
237,228,1149,Univ2
237,252,1218,Univ2
241,262,825,Univ2
245,237,1094,Univ2
245,257,1110,Univ2
245,224,1140,Univ2
245,225,1201,Univ2
253,292,1580,Univ2
253,211,1718,Univ2
262,209,912,Univ2
265,235,2328,Univ2
267,253,1485,Univ2
267,281,1673,Univ2
292,254,1708,Univ2
300,367,1820,Univ3
300,370,1845,Univ3
300,341,1902,Univ3
302,306,2734,Univ3
303,321,1515,Univ3
303,307,1566,Univ3
303,336,1662,Univ3
303,300,1677,Univ3
303,360,1684,Univ3
305,328,1713,Univ3
306,324,2807,Univ3
306,602,2940,Univ1
307,503,1719,Univ1
307,337,1783,Univ3
309,157,2245,Univ1
309,312,2267,Univ3
311,317,2143,Univ3
312,361,2334,Univ3
317,380,2325,Univ3
321,345,1709,Univ3
321,331,1745,Univ3
324,339,2964,Univ3
328,320,1877,Univ3
328,311,1908,Univ3
331,353,1823,Univ3
336,386,1736,Univ3
341,389,1983,Univ3
341,332,2000,Univ3
360,351,1814,Univ3
361,381,2392,Univ3
381,357,2446,Univ3
381,302,2595,Univ3
386,395,1859,Univ3
389,368,2169,Univ3
400,181,1694,Univ1
400,444,1734,Univ4
401,476,1708,Univ4
401,405,1727,Univ4
401,490,1728,Univ4
401,101,1740,Univ1
401,191,1791,Univ1
401,410,1808,Univ4
403,433,2084,Univ4
404,406,2239,Univ4
404,167,2343,Univ1
405,432,1828,Univ4
405,438,1833,Univ4
405,452,1878,Univ4
405,418,1917,Univ4
405,479,1919,Univ4
406,502,2298,Univ1
406,474,2331,Univ4
409,204,686,Univ1
410,451,1875,Univ4
410,487,1887,Univ4
419,430,2404,Univ4
427,404,2140,Univ4
427,408,2191,Univ4
430,447,2458,Univ4
432,459,1887,Univ4
432,449,1894,Univ4
433,443,2157,Univ4
433,448,2259,Univ4
437,462,2126,Univ4
438,425,1883,Univ4
438,473,2026,Univ4
441,423,2514,Univ4
443,445,2239,Univ4
443,454,2292,Univ4
444,411,1809,Univ4
444,437,1919,Univ4
447,417,2540,Univ4
449,497,1967,Univ4
451,403,1964,Univ4
451,463,2054,Univ4
452,478,1957,Univ4
454,419,2356,Univ4
454,468,2374,Univ4
454,441,2463,Univ4
455,481,2447,Univ4
455,440,2454,Univ4
459,494,2114,Univ4
462,496,2203,Univ4
462,455,2293,Univ4
476,488,1787,Univ4
476,427,1955,Univ4
478,491,2165,Univ4
479,458,2171,Univ4
487,461,1941,Univ4
490,435,1789,Univ4
490,453,1818,Univ4
491,493,2252,Univ4
500,563,860,Univ5
502,525,2376,Univ5
502,554,2502,Univ5
503,150,1933,Univ1
503,574,1966,Univ5
506,146,2268,Univ1
506,545,2336,Univ5
507,571,2015,Univ5
545,567,2415,Univ5
562,515,2658,Univ5
567,562,2583,Univ5
600,647,1772,Univ6
602,663,3129,Univ6
603,651,1162,Univ6
603,629,1176,Univ6
603,154,1213,Univ1
603,694,1316,Univ6
604,658,2075,Univ6
604,674,2114,Univ6
604,309,2172,Univ1
606,603,1108,Univ6
606,698,1125,Univ6
606,171,1189,Univ1
606,7,1212,Univ1
607,657,1535,Univ6
607,667,1676,Univ6
608,685,1375,Univ6
608,190,1408,Univ1
608,805,1408,Univ1
609,175,1791,Univ1
609,107,1865,Univ1
617,675,1796,Univ6
619,605,1998,Univ6
620,617,1678,Univ6
623,619,1819,Univ6
626,687,1862,Univ6
626,637,1875,Univ6
626,669,1933,Univ6
626,682,1956,Univ6
626,604,1977,Univ6
628,695,1551,Univ6
630,689,1488,Univ6
634,653,3359,Univ6
646,630,1410,Univ6
646,632,1520,Univ6
647,649,1917,Univ6
649,670,1966,Univ6
649,635,2091,Univ6
650,654,1474,Univ6
651,678,1251,Univ6
651,679,1279,Univ6
651,646,1361,Univ6
654,614,1548,Univ6
658,660,2226,Univ6
658,697,2263,Univ6
658,680,2320,Univ6
663,634,3286,Univ6
669,659,2166,Univ6
671,611,1878,Univ6
672,625,1739,Univ6
678,607,1484,Univ6
684,627,1907,Univ6
689,620,1561,Univ6
689,609,1641,Univ6
690,671,1678,Univ6
690,684,1849,Univ6
694,650,1395,Univ6
694,640,1485,Univ6
695,690,1624,Univ6
695,672,1664,Univ6
695,623,1770,Univ6
695,626,1786,Univ6
698,618,1174,Univ6
698,628,1296,Univ6
700,750,1710,Univ7
702,798,611,Univ7
702,500,616,Univ1
702,776,644,Univ7
703,208,1336,Univ1
704,745,1607,Univ7
704,110,1644,Univ1
705,762,947,Univ7
705,713,1053,Univ7
705,738,1078,Univ7
706,303,1454,Univ1
707,715,1389,Univ7
709,183,1314,Univ1
709,706,1356,Univ1
709,148,1380,Univ1
709,742,1451,Univ7
713,703,1220,Univ7
715,789,1577,Univ7
715,779,1597,Univ7
720,792,1359,Univ7
731,791,1328,Univ7
731,700,1464,Univ7
738,720,1207,Univ7
742,778,1640,Univ7
743,744,1253,Univ7
743,731,1276,Univ7
744,728,1340,Univ7
745,763,1743,Univ7
750,708,1796,Univ7
762,743,1177,Univ7
763,726,1925,Univ7
776,705,885,Univ7
778,751,1700,Univ7
779,786,1693,Univ7
789,782,1710,Univ7
789,732,1747,Univ7
801,876,1653,Univ8
801,899,1682,Univ8
801,600,1718,Univ1
801,147,1770,Univ1
801,879,1800,Univ8
801,810,1802,Univ8
801,151,1815,Univ1
802,707,1284,Univ1
803,836,2420,Univ8
803,849,2444,Univ8
805,851,1466,Univ8
807,826,2856,Univ8
809,187,1524,Univ1
809,117,1552,Univ1
811,888,2241,Univ8
826,855,2931,Univ8
826,822,3087,Univ8
828,821,2117,Univ8
828,844,2137,Univ8
844,856,2218,Univ8
849,818,2546,Univ8
849,878,2560,Univ8
854,811,2097,Univ8
855,857,3007,Univ8
878,807,2695,Univ8
879,828,2025,Univ8
888,893,2353,Univ8
888,803,2363,Univ8
893,819,2428,Univ8
893,820,2486,Univ8
899,854,1915,Univ8
