,gen,infecor,infecting
1,22,150,413
2,23,150,596
3,45,150,377
4,96,413,32
5,96,596,714
6,97,596,741
7,101,32,922
8,103,596,573
9,141,596,440
10,144,596,222
11,147,377,115
12,149,222,129
13,152,573,189
14,152,573,204
15,157,573,568
16,160,413,214
17,169,714,0
18,171,741,411
19,173,596,536
20,173,741,70
21,201,922,23
22,202,922,269
23,206,573,549
24,209,596,302
25,209,596,655
26,215,573,315
27,215,741,745
28,220,115,811
29,223,70,678
30,223,922,868
31,224,189,40
32,225,411,366
33,225,440,882
34,226,204,459
35,227,189,580
36,227,573,195
37,228,129,240
38,229,189,681
39,230,189,279
40,235,214,236
41,238,714,360
42,242,204,429
43,243,411,121
44,244,573,203
45,245,573,514
46,248,115,313
47,251,189,558
48,252,411,398
49,252,558,261
50,252,714,184
51,255,741,915
52,259,189,181
53,260,23,205
54,261,115,310
55,261,222,449
56,263,536,263
57,265,204,555
58,265,573,524
59,268,411,983
60,270,0,301
61,271,568,174
62,271,678,408
63,272,23,764
64,274,129,939
65,276,714,791
66,279,129,219
67,283,411,720
68,283,549,502
69,285,655,850
70,286,204,735
71,286,204,975
72,286,681,143
73,287,204,755
74,287,681,370
75,289,745,779
76,291,745,891
77,292,236,43
78,293,0,910
79,293,868,836
80,294,0,990
81,296,429,819
82,298,23,62
83,298,203,47
84,298,678,309
85,299,549,928
86,300,240,986
87,301,184,794
88,301,580,839
89,301,678,166
90,304,0,369
91,304,411,508
92,304,681,574
93,305,129,531
94,305,459,467
95,305,681,532
96,306,261,585
97,309,40,951
98,310,536,892
99,311,269,778
100,311,459,487
101,313,0,164
102,314,205,527
103,314,429,76
104,315,429,691
105,316,0,100
106,316,205,664
107,317,983,767
108,319,240,919
109,319,514,789
110,319,681,391
111,321,181,813
112,321,195,45
113,321,429,305
114,323,203,669
115,323,411,820
116,323,558,814
117,323,811,481
118,324,23,673
119,325,115,959
120,325,313,25
121,328,240,713
122,328,261,979
123,329,203,611
124,332,195,974
125,332,240,499
126,333,558,68
127,334,279,284
128,335,23,120
129,335,205,797
130,335,310,541
131,336,184,51
132,336,315,167
133,338,203,838
134,338,549,489
135,338,681,659
136,338,975,173
137,338,975,796
138,339,745,556
139,339,764,61
140,341,408,27
141,342,408,516
142,342,681,275
143,343,429,397
144,345,261,96
145,346,411,356
146,346,764,504
147,346,819,662
148,347,47,985
149,347,764,307
150,348,360,875
151,348,408,851
152,349,269,410
153,349,302,543
154,349,315,786
155,351,219,906
156,351,315,153
157,352,681,743
158,353,411,860
159,353,745,475
160,355,219,198
161,355,514,825
162,356,261,557
163,357,121,46
164,357,502,21
165,358,532,364
166,358,975,209
167,360,502,672
168,360,764,570
169,362,502,609
