Biter,victim,gen,U
22,35,9,0
1,45,20,0
0,13,116,0
1,52,170,0
13,89,178,0
52,44,249,0
89,8,251,0
44,6,313,0
8,155,351,1
89,70,378,0
52,85,404,0
52,84,417,0
6,702,427,1
155,170,428,1
8,409,446,1
70,93,577,0
70,61,596,0
84,4,599,0
702,798,611,7
85,46,615,0
702,500,616,1
702,776,644,7
409,204,686,1
93,81,737,0
4,59,744,0
204,241,772,2
4,53,800,0
241,262,825,2
204,111,834,1
500,563,860,5
776,705,885,7
204,202,894,2
53,66,904,0
262,209,912,2
59,103,914,0
705,762,947,7
103,40,964,0
202,245,968,2
202,125,973,1
111,606,996,1
202,236,1011,2
202,161,1022,1
705,713,1053,7
66,28,1072,0
705,738,1078,7
103,189,1079,1
209,233,1089,2
245,237,1094,2
40,29,1106,0
606,603,1108,6
245,257,1110,2
606,698,1125,6
245,224,1140,2
189,802,1145,1
237,228,1149,2
603,651,1162,6
125,174,1163,1
698,618,1174,6
603,629,1176,6
762,743,1177,7
161,709,1188,1
606,171,1189,1
245,225,1201,2
738,720,1207,7
606,7,1212,1
603,154,1213,1
237,252,1218,2
713,703,1220,7
189,192,1221,1
651,678,1251,6
743,744,1253,7
224,200,1258,2
174,608,1260,1
225,275,1275,2
743,731,1276,7
651,679,1279,6
802,707,1284,1
698,628,1296,6
174,809,1311,1
709,183,1314,1
603,694,1316,6
174,180,1319,1
731,791,1328,7
703,208,1336,1
744,728,1340,7
192,149,1347,1
709,706,1356,1
720,792,1359,7
651,646,1361,6
608,685,1375,6
709,148,1380,1
707,715,1389,7
694,650,1395,6
608,805,1408,1
608,190,1408,1
646,630,1410,6
208,267,1412,2
180,153,1416,1
149,172,1423,1
149,143,1429,1
709,742,1451,7
180,704,1453,1
706,303,1454,1
148,160,1455,1
731,700,1464,7
805,851,1466,8
650,654,1474,6
678,607,1484,6
694,640,1485,6
267,253,1485,2
630,689,1488,6
183,205,1500,1
208,305,1500,1
143,400,1502,1
160,119,1508,1
143,142,1509,1
303,321,1515,3
646,632,1520,6
809,187,1524,1
607,657,1535,6
654,614,1548,6
190,109,1549,1
628,695,1551,6
172,120,1551,1
809,117,1552,1
160,156,1557,1
180,108,1560,1
689,620,1561,6
303,307,1566,3
190,801,1574,1
715,789,1577,7
253,292,1580,2
715,779,1597,7
160,2,1597,1
704,745,1607,7
156,164,1611,1
