,gen,infecor,infecting
1,13,10,80
2,135,80,0
3,183,10,13
4,209,80,16
5,333,0,54
6,371,13,19
7,395,0,55
8,405,16,28
9,441,54,70
10,513,55,92
11,536,55,78
12,566,55,71
13,566,70,52
14,566,55,71
15,575,28,9
16,661,92,22
17,680,71,74
18,743,52,38
19,774,92,83
20,820,38,97
21,874,38,85
22,936,83,68
23,994,97,14
24,1023,68,60
25,1072,83,27
26,1101,68,88
27,1139,68,5
28,1160,14,93
29,1197,14,46
30,1225,14,6
31,1232,93,35
32,1327,6,84
33,1344,93,20
34,1365,35,96
35,1374,93,64
36,1379,35,51
37,1437,46,31
38,1454,84,39
39,1460,6,87
40,1464,6,34
41,1513,96,56
42,1530,39,47
43,1540,31,91
44,1542,39,77
45,1583,84,30
46,1609,84,66
47,1717,30,41
48,1748,30,2
