,gen,infecor,infecting
1,42,150,695
2,59,150,460
3,65,150,102
4,69,150,781
5,72,537,802
6,77,537,279
7,79,150,484
8,91,150,515
9,106,695,525
10,106,695,785
11,110,537,995
12,113,537,498
13,123,537,820
14,124,781,494
15,126,460,997
16,129,781,456
17,137,695,155
18,144,781,516
19,147,781,189
20,155,484,708
21,155,708,991
22,156,515,254
23,157,802,253
24,163,537,563
25,167,498,728
26,167,515,493
27,168,493,855
28,169,537,281
29,170,460,875
30,177,102,594
31,182,995,163
32,183,995,700
33,183,995,811
34,184,484,637
35,185,995,273
36,187,995,974
37,189,460,17
38,189,781,285
39,192,484,476
40,193,515,595
41,196,102,327
42,196,820,372
43,198,781,743
44,199,995,66
45,201,498,874
46,203,997,437
47,204,460,462
48,204,460,9
49,205,279,479
50,206,991,367
51,207,460,485
52,207,995,643
53,208,9,188
54,209,155,992
55,210,155,642
56,210,155,860
57,213,997,127
58,214,498,463
59,215,189,580
60,216,102,181
61,217,155,193
62,217,155,277
63,217,493,630
64,217,781,93
65,220,279,661
66,220,516,575
67,221,516,314
68,223,102,590
69,223,498,10
70,228,102,675
71,228,189,267
72,228,254,358
73,229,708,740
74,229,708,840
75,231,254,85
76,231,811,387
77,234,253,574
78,234,498,52
79,235,637,560
80,236,708,824
81,237,563,202
82,242,728,55
83,242,855,668
84,243,273,350
85,243,875,616
86,244,995,16
87,245,781,693
88,245,991,552
89,245,995,970
90,249,155,750
91,249,997,747
92,250,594,81
93,254,155,528
94,254,516,763
95,254,991,68
96,255,525,431
97,255,811,158
98,256,643,553
99,257,68,565
100,258,637,709
101,260,188,137
102,260,253,137
103,260,273,230
104,260,563,777
105,260,802,53
106,261,273,461
107,261,743,97
108,265,127,44
109,268,163,148
110,269,273,307
111,269,307,910
112,269,811,218
113,271,997,167
114,272,743,422
115,275,525,455
116,276,254,559
117,276,997,226
118,277,226,233
119,277,285,685
120,277,997,233
121,278,479,505
122,279,840,946
123,279,991,602
124,282,743,304
125,282,855,309
126,282,991,128
127,283,479,752
128,283,855,682
129,284,860,263
130,284,992,817
131,286,127,768
132,286,254,828
133,286,254,989
134,287,181,389
135,287,708,886
136,288,163,830
137,289,708,293
138,290,127,721
139,290,181,223
140,290,995,677
141,291,493,782
142,292,995,647
143,293,193,60
144,293,594,834
145,294,93,732
146,295,93,771
147,297,277,104
148,297,476,925
149,298,277,82
150,301,281,703
151,301,580,383
152,302,281,308
153,302,479,784
154,302,493,413
155,302,997,931
156,304,254,482
157,305,85,869
158,307,9,615
159,307,560,705
160,308,997,344
161,310,155,129
162,312,9,3
163,313,367,990
164,313,637,278
165,314,350,801
166,315,193,994
167,315,740,735
168,316,675,832
169,316,811,934
170,318,285,634
171,321,155,792
172,321,277,76
173,321,560,889
174,324,358,858
175,324,476,766
176,325,93,392
177,325,642,803
178,325,661,838
179,326,127,773
180,326,552,853
181,326,643,744
182,326,970,136
183,328,127,599
184,328,602,812
185,329,53,676
186,330,44,551
187,332,910,291
188,332,910,401
189,334,230,608
190,334,281,722
191,338,158,36
192,348,181,592
193,348,565,440
194,348,642,895
195,352,277,477
196,354,482,503
197,354,482,518
198,355,128,786
199,355,479,508
200,359,910,337
201,360,685,871
202,361,358,550
203,362,350,597
204,364,128,73
205,364,565,73
206,364,642,749
207,365,17,866
208,365,565,878
209,367,285,43
210,368,675,217
211,370,68,611
212,370,277,250
213,370,553,116
214,371,76,619
215,372,661,867
216,372,771,787
217,372,832,182
218,373,661,497
219,374,82,234
220,380,661,165
221,382,344,38
222,382,925,107
223,384,565,99
224,385,642,704
225,386,44,299
226,386,455,894
227,388,82,823
228,391,771,609
229,392,763,91
230,392,771,247
231,393,553,917
232,394,128,343
233,395,482,936
234,395,693,368
235,396,3,194
236,396,661,928
237,396,801,214
238,398,392,274
239,400,401,756
240,400,830,84
241,402,812,762
242,405,55,902
243,405,551,395
244,407,307,381
245,407,518,631
246,410,934,248
247,411,440,929
248,411,994,446
249,412,482,421
250,418,838,391
251,419,76,851
252,419,786,186
253,420,551,384
254,421,128,251
255,421,602,627
256,422,619,120
257,422,619,691
258,432,803,748
259,433,38,354
260,436,250,428
261,441,482,132
262,441,732,739
263,443,250,8
264,443,732,586
265,445,217,448
266,445,823,117
267,446,76,356
268,446,619,90
269,446,823,341
270,446,894,258
271,449,99,987
272,453,368,863
273,455,104,438
274,455,787,937
275,456,732,11
276,458,773,968
277,459,787,865
278,460,421,71
279,462,853,118
280,464,482,298
281,464,732,192
282,465,263,901
283,469,994,688
284,470,446,480
285,472,104,109
286,473,76,113
287,473,165,621
288,475,928,208
289,479,928,893
290,483,76,235
291,483,619,478
292,484,691,177
293,487,936,89
294,488,76,106
295,488,894,115
296,493,8,57
297,494,217,557
298,494,440,430
299,499,518,228
300,501,619,578
301,504,518,617
302,505,518,885
303,507,120,506
304,508,786,190
305,510,251,737
306,512,192,717
307,513,90,707
308,513,739,443
309,514,631,12
310,517,165,862
311,517,863,198
312,518,823,180
313,519,428,269
314,520,823,879
315,521,704,355
316,523,823,807
317,524,192,452
318,524,440,726
319,525,132,407
320,528,356,720
321,533,248,588
322,537,106,825
323,539,384,385
324,540,619,850
325,540,928,835
326,541,928,798
327,542,251,692
328,542,356,130
329,542,619,310
330,544,343,23
331,545,109,470
332,545,480,922
333,546,480,655
334,547,165,535
335,547,619,375
336,550,192,382
337,550,586,51
338,552,186,513
339,554,704,519
340,554,987,169
341,557,586,14
342,558,885,101
