pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age,SuscIndx
0,0,0,0,-1,0,R,4,,
1,0,0,0,-1,0,R,4,,
2,0,0,0,-1,0,R,4,,
3,0,0,0,-1,0,R,4,,
4,0,0,0,-1,0,R,4,,
5,0,0,0,-1,0,R,4,,
6,0,0,0,-1,0,R,4,,
7,0,0,0,-1,0,R,4,,
8,0,0,0,-1,0,R,4,,
9,0,0,0,-1,0,R,4,,
10,0,0,0,-1,0,R,4,,
11,0,0,0,-1,0,R,4,,
12,0,0,0,-1,0,R,4,,
13,0,0,0,-1,0,R,4,,
14,0,0,0,-1,0,R,4,,
15,0,0,0,-1,0,R,4,,
16,0,0,0,-1,0,R,4,,
17,0,0,0,-1,0,R,4,,
18,0,0,0,-1,0,R,4,,
19,0,0,0,-1,0,R,4,,
20,0,0,0,-1,0,R,4,,
21,0,0,0,-1,0,R,4,,
22,0,0,0,-1,0,R,4,,
23,0,0,0,-1,0,R,4,,
24,0,0,0,-1,0,R,4,,
25,0,0,0,-1,0,R,4,,
26,0,0,0,-1,0,R,4,,
27,0,0,0,-1,0,R,4,,
28,0,0,0,-1,0,R,4,,
29,0,0,0,-1,0,R,4,,
30,0,0,0,-1,0,R,4,,
31,0,0,0,-1,0,R,4,,
32,0,0,0,-1,0,R,4,,
33,0,0,0,-1,0,R,4,,
34,0,0,0,-1,0,R,4,,
35,0,0,0,-1,0,R,4,,
36,0,0,0,-1,0,R,4,,
37,0,0,0,-1,0,R,4,,
38,0,0,0,-1,0,R,4,,
39,0,0,0,-1,0,R,4,,
40,0,0,0,-1,0,R,4,,
41,0,0,0,-1,0,R,4,,
42,0,0,0,-1,0,R,4,,
43,0,0,0,-1,0,R,4,,
44,0,0,0,-1,0,R,4,,
45,0,0,0,-1,0,R,4,,
46,0,0,0,-1,0,R,4,,
47,0,0,0,-1,0,R,4,,
48,0,0,0,-1,0,R,4,,
49,0,0,0,-1,0,R,4,,
50,0,0,0,-1,0,R,4,,
51,0,0,0,-1,0,R,4,,
52,0,0,0,-1,0,R,4,,
53,0,0,0,-1,0,R,4,,
54,0,0,0,-1,0,R,4,,
55,0,0,0,-1,0,R,4,,
56,0,0,0,-1,0,R,4,,
57,0,0,0,-1,0,R,4,,
58,0,0,0,-1,0,R,4,,
59,0,0,0,-1,0,R,4,,
60,0,0,0,-1,0,R,4,,
61,0,0,0,-1,0,R,4,,
62,0,0,0,-1,0,R,4,,
63,0,0,0,-1,0,R,4,,
64,0,0,0,-1,0,R,4,,
65,0,0,0,-1,0,R,4,,
66,0,0,0,-1,0,R,4,,
67,0,0,0,-1,0,R,4,,
68,0,0,0,-1,0,R,4,,
69,0,0,0,-1,0,R,4,,
70,0,0,0,-1,0,R,4,,
71,0,0,0,-1,0,R,4,,
72,0,0,0,-1,0,R,4,,
73,0,0,0,-1,0,R,4,,
74,0,0,0,-1,0,R,4,,
75,0,0,0,-1,0,R,4,,
76,0,0,0,-1,0,R,4,,
77,0,0,0,-1,0,R,4,,
78,0,0,0,-1,0,R,4,,
79,0,0,0,-1,0,R,4,,
80,0,0,0,-1,0,R,4,,
81,0,0,0,-1,0,R,4,,
82,0,0,0,-1,0,R,4,,
83,0,0,0,-1,0,R,4,,
84,0,0,0,-1,0,R,4,,
85,0,0,0,-1,0,R,4,,
86,0,0,0,-1,0,R,4,,
87,0,0,0,-1,0,R,4,,
88,0,0,0,-1,0,R,4,,
89,0,0,0,-1,0,R,4,,
90,0,0,0,-1,0,R,4,,
91,0,0,0,-1,0,R,4,,
92,0,0,0,-1,0,R,4,,
93,0,0,0,-1,0,R,4,,
94,0,0,0,-1,0,R,4,,
95,0,0,0,-1,0,R,4,,
96,0,0,0,-1,0,R,4,,
97,0,0,0,-1,0,R,4,,
98,0,0,0,-1,0,R,4,,
99,0,0,0,-1,0,R,4,,
