pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age,SuscIndx
0,0,0,0,-1,0,R,2,,
1,0,0,0,-1,0,R,2,,
2,0,0,0,-1,0,R,2,,
3,0,0,0,-1,0,R,2,,
4,0,0,0,-1,0,R,2,,
5,0,0,0,-1,0,R,2,,
6,0,0,0,-1,0,R,2,,
7,0,0,0,-1,0,R,2,,
8,0,0,0,-1,0,R,2,,
9,0,0,0,-1,0,R,2,,
10,0,0,0,-1,0,R,2,,
11,0,0,0,-1,0,R,2,,
12,0,0,0,-1,0,R,2,,
13,0,0,0,-1,0,R,2,,
14,0,0,0,-1,0,R,2,,
15,0,0,0,-1,0,R,2,,
16,0,0,0,-1,0,R,2,,
17,0,0,0,-1,0,R,2,,
18,0,0,0,-1,0,R,2,,
19,0,0,0,-1,0,R,2,,
20,0,0,0,-1,0,R,2,,
21,0,0,0,-1,0,R,2,,
22,0,0,0,-1,0,R,2,,
23,0,0,0,-1,0,R,2,,
24,0,0,0,-1,0,R,2,,
25,0,0,0,-1,0,R,2,,
26,0,0,0,-1,0,R,2,,
27,0,0,0,-1,0,R,2,,
28,0,0,0,-1,0,R,2,,
29,0,0,0,-1,0,R,2,,
30,0,0,0,-1,0,R,2,,
31,0,0,0,-1,0,R,2,,
32,0,0,0,-1,0,R,2,,
33,0,0,0,-1,0,R,2,,
34,0,0,0,-1,0,R,2,,
35,0,0,0,-1,0,R,2,,
36,0,0,0,-1,0,R,2,,
37,0,0,0,-1,0,R,2,,
38,0,0,0,-1,0,R,2,,
39,0,0,0,-1,0,R,2,,
40,0,0,0,-1,0,R,2,,
41,0,0,0,-1,0,R,2,,
42,0,0,0,-1,0,R,2,,
43,0,0,0,-1,0,R,2,,
44,0,0,0,-1,0,R,2,,
45,0,0,0,-1,0,R,2,,
46,0,0,0,-1,0,R,2,,
47,0,0,0,-1,0,R,2,,
48,0,0,0,-1,0,R,2,,
49,0,0,0,-1,0,R,2,,
